"","shift","region","INCIDENT_TYPE_DESC","count"
"1","1","4","theft_pro",1
"2","1","5","bulglar",6
"3","1","5","car_accident",6
"4","1","5","theft_pro",10
"5","1","6","bulglar",29
"6","1","6","car_accident",12
"7","1","6","shooting",2
"8","1","6","theft_pro",42
"9","1","7","bulglar",1
"10","1","7","car_accident",3
"11","1","7","theft_pro",2
"12","1","8","bulglar",1
"13","1","8","car_accident",2
"14","1","8","theft_pro",3
"15","1","9","car_accident",4
"16","1","9","theft_pro",3
"17","1","10","car_accident",5
"18","1","10","theft_pro",14
"19","1","11","bulglar",10
"20","1","11","car_accident",57
"21","1","11","shooting",2
"22","1","11","theft_pro",212
"23","1","12","bulglar",106
"24","1","12","car_accident",106
"25","1","12","shooting",3
"26","1","12","theft_pro",236
"27","1","13","bulglar",175
"28","1","13","car_accident",188
"29","1","13","shooting",25
"30","1","13","theft_pro",429
"31","1","14","bulglar",217
"32","1","14","car_accident",160
"33","1","14","shooting",25
"34","1","14","theft_pro",332
"35","1","15","bulglar",211
"36","1","15","car_accident",242
"37","1","15","shooting",36
"38","1","15","theft_pro",403
"39","1","16","bulglar",186
"40","1","16","car_accident",199
"41","1","16","shooting",50
"42","1","16","theft_pro",320
"43","1","17","bulglar",93
"44","1","17","car_accident",142
"45","1","17","shooting",16
"46","1","17","theft_pro",365
"47","1","18","bulglar",141
"48","1","18","car_accident",173
"49","1","18","shooting",29
"50","1","18","theft_pro",537
"51","1","19","bulglar",267
"52","1","19","car_accident",386
"53","1","19","shooting",37
"54","1","19","theft_pro",1320
"55","1","20","bulglar",171
"56","1","20","car_accident",430
"57","1","20","shooting",35
"58","1","20","theft_pro",888
"59","1","21","bulglar",198
"60","1","21","car_accident",220
"61","1","21","shooting",34
"62","1","21","theft_pro",538
"63","1","22","bulglar",162
"64","1","22","car_accident",101
"65","1","22","shooting",22
"66","1","22","theft_pro",259
"67","1","23","bulglar",117
"68","1","23","car_accident",71
"69","1","23","shooting",3
"70","1","23","theft_pro",146
"71","1","24","bulglar",73
"72","1","24","car_accident",23
"73","1","24","theft_pro",80
"74","1","25","bulglar",152
"75","1","25","car_accident",109
"76","1","25","shooting",1
"77","1","25","theft_pro",166
"78","1","26","bulglar",120
"79","1","26","car_accident",150
"80","1","26","shooting",3
"81","1","26","theft_pro",316
"82","1","27","bulglar",94
"83","1","27","car_accident",56
"84","1","27","shooting",1
"85","1","27","theft_pro",115
"86","1","28","bulglar",45
"87","1","28","car_accident",36
"88","1","28","shooting",3
"89","1","28","theft_pro",78
"90","1","29","bulglar",119
"91","1","29","car_accident",68
"92","1","29","shooting",7
"93","1","29","theft_pro",173
"94","1","30","bulglar",49
"95","1","30","car_accident",20
"96","1","30","shooting",2
"97","1","30","theft_pro",44
"98","1","43","bulglar",1
"99","1","44","bulglar",15
"100","1","44","car_accident",10
"101","1","44","shooting",5
"102","1","44","theft_pro",13
"103","1","45","bulglar",82
"104","1","45","car_accident",44
"105","1","45","shooting",12
"106","1","45","theft_pro",76
"107","1","46","bulglar",65
"108","1","46","car_accident",31
"109","1","46","shooting",5
"110","1","46","theft_pro",42
"111","1","47","bulglar",126
"112","1","47","car_accident",87
"113","1","47","shooting",26
"114","1","47","theft_pro",175
"115","1","48","bulglar",111
"116","1","48","car_accident",32
"117","1","48","shooting",8
"118","1","48","theft_pro",48
"119","1","49","bulglar",47
"120","1","49","car_accident",64
"121","1","49","shooting",7
"122","1","49","theft_pro",63
"123","1","50","bulglar",33
"124","1","50","car_accident",38
"125","1","50","shooting",15
"126","1","50","theft_pro",56
"127","1","51","bulglar",12
"128","1","51","car_accident",15
"129","1","51","shooting",1
"130","1","51","theft_pro",34
"131","1","52","bulglar",63
"132","1","52","car_accident",85
"133","1","52","shooting",8
"134","1","52","theft_pro",189
"135","1","53","bulglar",122
"136","1","53","car_accident",83
"137","1","53","shooting",13
"138","1","53","theft_pro",205
"139","1","54","bulglar",76
"140","1","54","car_accident",71
"141","1","54","shooting",8
"142","1","54","theft_pro",167
"143","1","55","bulglar",28
"144","1","55","car_accident",17
"145","1","55","shooting",2
"146","1","55","theft_pro",28
"147","1","56","bulglar",42
"148","1","56","car_accident",49
"149","1","56","shooting",7
"150","1","56","theft_pro",87
"151","1","57","bulglar",64
"152","1","57","car_accident",18
"153","1","57","shooting",5
"154","1","57","theft_pro",56
"155","1","58","bulglar",17
"156","1","58","car_accident",6
"157","1","58","shooting",1
"158","1","58","theft_pro",4
"159","1",NA,"theft_pro",2
"160","2","4","theft_pro",1
"161","2","5","bulglar",5
"162","2","5","car_accident",5
"163","2","5","shooting",1
"164","2","5","theft_pro",4
"165","2","6","bulglar",17
"166","2","6","car_accident",8
"167","2","6","shooting",2
"168","2","6","theft_pro",30
"169","2","7","theft_pro",2
"170","2","8","shooting",1
"171","2","8","theft_pro",5
"172","2","9","car_accident",1
"173","2","9","theft_pro",1
"174","2","10","bulglar",1
"175","2","10","car_accident",2
"176","2","10","shooting",1
"177","2","10","theft_pro",5
"178","2","11","bulglar",10
"179","2","11","car_accident",61
"180","2","11","shooting",2
"181","2","11","theft_pro",213
"182","2","12","bulglar",56
"183","2","12","car_accident",84
"184","2","12","shooting",33
"185","2","12","theft_pro",169
"186","2","13","bulglar",127
"187","2","13","car_accident",149
"188","2","13","shooting",50
"189","2","13","theft_pro",365
"190","2","14","bulglar",126
"191","2","14","car_accident",130
"192","2","14","shooting",123
"193","2","14","theft_pro",195
"194","2","15","bulglar",136
"195","2","15","car_accident",196
"196","2","15","shooting",120
"197","2","15","theft_pro",282
"198","2","16","bulglar",120
"199","2","16","car_accident",142
"200","2","16","shooting",154
"201","2","16","theft_pro",247
"202","2","17","bulglar",65
"203","2","17","car_accident",117
"204","2","17","shooting",53
"205","2","17","theft_pro",338
"206","2","18","bulglar",71
"207","2","18","car_accident",146
"208","2","18","shooting",80
"209","2","18","theft_pro",337
"210","2","19","bulglar",135
"211","2","19","car_accident",338
"212","2","19","shooting",130
"213","2","19","theft_pro",894
"214","2","20","bulglar",105
"215","2","20","car_accident",264
"216","2","20","shooting",112
"217","2","20","theft_pro",613
"218","2","21","bulglar",128
"219","2","21","car_accident",134
"220","2","21","shooting",169
"221","2","21","theft_pro",375
"222","2","22","bulglar",72
"223","2","22","car_accident",68
"224","2","22","shooting",68
"225","2","22","theft_pro",187
"226","2","23","bulglar",73
"227","2","23","car_accident",70
"228","2","23","shooting",34
"229","2","23","theft_pro",94
"230","2","24","bulglar",43
"231","2","24","car_accident",18
"232","2","24","shooting",3
"233","2","24","theft_pro",31
"234","2","25","bulglar",72
"235","2","25","car_accident",67
"236","2","25","shooting",4
"237","2","25","theft_pro",114
"238","2","26","bulglar",64
"239","2","26","car_accident",121
"240","2","26","shooting",14
"241","2","26","theft_pro",253
"242","2","27","bulglar",37
"243","2","27","car_accident",42
"244","2","27","shooting",10
"245","2","27","theft_pro",78
"246","2","28","bulglar",29
"247","2","28","car_accident",22
"248","2","28","shooting",10
"249","2","28","theft_pro",59
"250","2","29","bulglar",69
"251","2","29","car_accident",46
"252","2","29","shooting",38
"253","2","29","theft_pro",113
"254","2","30","bulglar",30
"255","2","30","car_accident",12
"256","2","30","shooting",4
"257","2","30","theft_pro",12
"258","2","44","bulglar",11
"259","2","44","car_accident",8
"260","2","44","shooting",3
"261","2","44","theft_pro",4
"262","2","45","bulglar",49
"263","2","45","car_accident",52
"264","2","45","shooting",45
"265","2","45","theft_pro",62
"266","2","46","bulglar",25
"267","2","46","car_accident",34
"268","2","46","shooting",29
"269","2","46","theft_pro",28
"270","2","47","bulglar",83
"271","2","47","car_accident",66
"272","2","47","shooting",63
"273","2","47","theft_pro",132
"274","2","48","bulglar",61
"275","2","48","car_accident",27
"276","2","48","shooting",17
"277","2","48","theft_pro",24
"278","2","49","bulglar",30
"279","2","49","car_accident",53
"280","2","49","shooting",22
"281","2","49","theft_pro",48
"282","2","50","bulglar",13
"283","2","50","car_accident",29
"284","2","50","shooting",43
"285","2","50","theft_pro",40
"286","2","51","bulglar",8
"287","2","51","car_accident",5
"288","2","51","shooting",3
"289","2","51","theft_pro",23
"290","2","52","bulglar",33
"291","2","52","car_accident",62
"292","2","52","shooting",30
"293","2","52","theft_pro",121
"294","2","53","bulglar",89
"295","2","53","car_accident",56
"296","2","53","shooting",38
"297","2","53","theft_pro",107
"298","2","54","bulglar",47
"299","2","54","car_accident",41
"300","2","54","shooting",41
"301","2","54","theft_pro",93
"302","2","55","bulglar",16
"303","2","55","car_accident",6
"304","2","55","shooting",10
"305","2","55","theft_pro",13
"306","2","56","bulglar",17
"307","2","56","car_accident",42
"308","2","56","shooting",7
"309","2","56","theft_pro",66
"310","2","57","bulglar",30
"311","2","57","car_accident",24
"312","2","57","shooting",15
"313","2","57","theft_pro",23
"314","2","58","bulglar",13
"315","2","58","car_accident",5
"316","2","58","shooting",8
"317","2","58","theft_pro",9
"318","2",NA,"car_accident",1
"319","3","4","theft_pro",1
"320","3","5","bulglar",1
"321","3","5","shooting",2
"322","3","5","theft_pro",3
"323","3","6","bulglar",5
"324","3","6","car_accident",3
"325","3","6","shooting",9
"326","3","6","theft_pro",15
"327","3","7","car_accident",3
"328","3","8","car_accident",1
"329","3","8","theft_pro",3
"330","3","9","theft_pro",3
"331","3","10","theft_pro",4
"332","3","11","bulglar",1
"333","3","11","car_accident",3
"334","3","11","shooting",9
"335","3","11","theft_pro",59
"336","3","12","bulglar",27
"337","3","12","car_accident",18
"338","3","12","shooting",29
"339","3","12","theft_pro",92
"340","3","13","bulglar",42
"341","3","13","car_accident",43
"342","3","13","shooting",74
"343","3","13","theft_pro",119
"344","3","14","bulglar",46
"345","3","14","car_accident",48
"346","3","14","shooting",114
"347","3","14","theft_pro",91
"348","3","15","bulglar",49
"349","3","15","car_accident",56
"350","3","15","shooting",148
"351","3","15","theft_pro",142
"352","3","16","bulglar",47
"353","3","16","car_accident",61
"354","3","16","shooting",116
"355","3","16","theft_pro",128
"356","3","17","bulglar",14
"357","3","17","car_accident",31
"358","3","17","shooting",66
"359","3","17","theft_pro",226
"360","3","18","bulglar",37
"361","3","18","car_accident",33
"362","3","18","shooting",117
"363","3","18","theft_pro",206
"364","3","19","bulglar",61
"365","3","19","car_accident",105
"366","3","19","shooting",187
"367","3","19","theft_pro",561
"368","3","20","bulglar",43
"369","3","20","car_accident",74
"370","3","20","shooting",132
"371","3","20","theft_pro",393
"372","3","21","bulglar",40
"373","3","21","car_accident",42
"374","3","21","shooting",124
"375","3","21","theft_pro",194
"376","3","22","bulglar",36
"377","3","22","car_accident",16
"378","3","22","shooting",90
"379","3","22","theft_pro",108
"380","3","23","bulglar",31
"381","3","23","car_accident",16
"382","3","23","shooting",26
"383","3","23","theft_pro",63
"384","3","24","bulglar",16
"385","3","24","car_accident",2
"386","3","24","shooting",2
"387","3","24","theft_pro",26
"388","3","25","bulglar",31
"389","3","25","car_accident",17
"390","3","25","shooting",7
"391","3","25","theft_pro",73
"392","3","26","bulglar",22
"393","3","26","car_accident",25
"394","3","26","shooting",6
"395","3","26","theft_pro",175
"396","3","27","bulglar",16
"397","3","27","car_accident",10
"398","3","27","shooting",4
"399","3","27","theft_pro",60
"400","3","28","bulglar",8
"401","3","28","car_accident",2
"402","3","28","shooting",2
"403","3","28","theft_pro",24
