"","date_ymd","region","n()"
"1","2015-1-1","77",1
"2","2015-1-1","78",1
"3","2015-1-1","79",1
"4","2015-1-1","80",3
"5","2015-1-1","81",1
"6","2015-1-1","83",1
"7","2015-1-1","87",2
"8","2015-1-1","88",2
"9","2015-1-1","89",4
"10","2015-1-1","90",3
"11","2015-1-1","107",1
"12","2015-1-1","114",1
"13","2015-1-1","119",2
"14","2015-1-1","120",2
"15","2015-1-1","139",1
"16","2015-1-1","144",1
"17","2015-1-1","148",1
"18","2015-1-1",NA,28
"19","2015-1-10","78",1
"20","2015-1-10","82",2
"21","2015-1-10","83",1
"22","2015-1-10","85",1
"23","2015-1-10","88",3
"24","2015-1-10","89",1
"25","2015-1-10","90",6
"26","2015-1-10","107",2
"27","2015-1-10","108",1
"28","2015-1-10","114",1
"29","2015-1-10","115",1
"30","2015-1-10","117",2
"31","2015-1-10","119",1
"32","2015-1-10","137",1
"33","2015-1-10","138",1
"34","2015-1-10","144",1
"35","2015-1-10","146",1
"36","2015-1-10",NA,15
"37","2015-1-11","77",1
"38","2015-1-11","79",1
"39","2015-1-11","82",4
"40","2015-1-11","86",1
"41","2015-1-11","89",2
"42","2015-1-11","90",5
"43","2015-1-11","107",1
"44","2015-1-11","116",1
"45","2015-1-11","118",1
"46","2015-1-11","119",1
"47","2015-1-11","140",1
"48","2015-1-11","141",1
"49","2015-1-11",NA,20
"50","2015-1-12","79",1
"51","2015-1-12","81",3
"52","2015-1-12","87",1
"53","2015-1-12","88",1
"54","2015-1-12","90",4
"55","2015-1-12","107",1
"56","2015-1-12","108",1
"57","2015-1-12","109",2
"58","2015-1-12","111",1
"59","2015-1-12","118",1
"60","2015-1-12","140",1
"61","2015-1-12","141",2
"62","2015-1-12","142",2
"63","2015-1-12","146",1
"64","2015-1-12","149",1
"65","2015-1-12",NA,26
"66","2015-1-13","77",1
"67","2015-1-13","81",2
"68","2015-1-13","82",1
"69","2015-1-13","108",1
"70","2015-1-13","110",1
"71","2015-1-13","113",1
"72","2015-1-13","119",1
"73","2015-1-13","120",1
"74","2015-1-13","137",1
"75","2015-1-13","139",1
"76","2015-1-13","148",2
"77","2015-1-13",NA,16
"78","2015-1-14","78",1
"79","2015-1-14","79",3
"80","2015-1-14","83",1
