"","date_ymd","shift","region","n()"
"1","2015-1-1","1","77",1
"2","2015-1-1","1","87",1
"3","2015-1-1","1",NA,4
"4","2015-1-1","2","80",2
"5","2015-1-1","2","89",4
"6","2015-1-1","2","90",1
"7","2015-1-1","2","119",1
"8","2015-1-1","2","148",1
"9","2015-1-1","2",NA,10
"10","2015-1-1","3","78",1
"11","2015-1-1","3","79",1
"12","2015-1-1","3","80",1
"13","2015-1-1","3","81",1
"14","2015-1-1","3","83",1
"15","2015-1-1","3","87",1
"16","2015-1-1","3","88",2
"17","2015-1-1","3","90",2
"18","2015-1-1","3","107",1
"19","2015-1-1","3","114",1
"20","2015-1-1","3","119",1
"21","2015-1-1","3","120",2
"22","2015-1-1","3","139",1
"23","2015-1-1","3","144",1
"24","2015-1-1","3",NA,14
"25","2015-1-10","1","82",1
"26","2015-1-10","1","108",1
"27","2015-1-10","1","117",1
"28","2015-1-10","1",NA,3
"29","2015-1-10","2","82",1
"30","2015-1-10","2","88",2
"31","2015-1-10","2","89",1
"32","2015-1-10","2","90",2
"33","2015-1-10","2","107",1
"34","2015-1-10","2","114",1
"35","2015-1-10","2","115",1
"36","2015-1-10","2","117",1
"37","2015-1-10","2","119",1
"38","2015-1-10","2","138",1
"39","2015-1-10","2","146",1
"40","2015-1-10","2",NA,9
"41","2015-1-10","3","78",1
"42","2015-1-10","3","83",1
"43","2015-1-10","3","85",1
"44","2015-1-10","3","88",1
"45","2015-1-10","3","90",4
"46","2015-1-10","3","107",1
"47","2015-1-10","3","137",1
"48","2015-1-10","3","144",1
"49","2015-1-10","3",NA,3
"50","2015-1-11","1","77",1
"51","2015-1-11","1","82",1
"52","2015-1-11","1","118",1
"53","2015-1-11","1","119",1
"54","2015-1-11","1",NA,3
"55","2015-1-11","2","79",1
"56","2015-1-11","2","82",2
"57","2015-1-11","2","86",1
"58","2015-1-11","2","89",1
"59","2015-1-11","2","90",2
"60","2015-1-11","2","107",1
"61","2015-1-11","2","116",1
"62","2015-1-11","2",NA,14
"63","2015-1-11","3","82",1
"64","2015-1-11","3","89",1
"65","2015-1-11","3","90",3
"66","2015-1-11","3","140",1
"67","2015-1-11","3","141",1
"68","2015-1-11","3",NA,3
"69","2015-1-12","1","87",1
"70","2015-1-12","1","88",1
"71","2015-1-12","1","90",3
"72","2015-1-12","1","108",1
"73","2015-1-12","1","109",1
"74","2015-1-12","1","118",1
"75","2015-1-12","1","140",1
"76","2015-1-12","1","141",2
"77","2015-1-12","1","142",1
"78","2015-1-12","1",NA,12
"79","2015-1-12","2","81",3
"80","2015-1-12","2","107",1
"81","2015-1-12","2","109",1
"82","2015-1-12","2","111",1
"83","2015-1-12","2","142",1
"84","2015-1-12","2","146",1
"85","2015-1-12","2",NA,7
"86","2015-1-12","3","79",1
"87","2015-1-12","3","90",1
"88","2015-1-12","3","149",1
"89","2015-1-12","3",NA,7
"90","2015-1-13","1","108",1
"91","2015-1-13","1","110",1
"92","2015-1-13","1","139",1
"93","2015-1-13","1",NA,5
"94","2015-1-13","2","81",2
"95","2015-1-13","2","82",1
"96","2015-1-13","2","119",1
"97","2015-1-13","2","120",1
"98","2015-1-13","2","137",1
"99","2015-1-13","2",NA,5
"100","2015-1-13","3","77",1
"101","2015-1-13","3","113",1
"102","2015-1-13","3","148",2
"103","2015-1-13","3",NA,6
"104","2015-1-14","1","79",1
"105","2015-1-14","1","90",1
"106","2015-1-14","1","116",1
"107","2015-1-14","1","141",1
"108","2015-1-14","1",NA,7
"109","2015-1-14","2","78",1
"110","2015-1-14","2","79",1
"111","2015-1-14","2","90",1
"112","2015-1-14","2","107",2
"113","2015-1-14","2","109",1
"114","2015-1-14","2","110",1
"115","2015-1-14","2","111",1
"116","2015-1-14","2","117",1
"117","2015-1-14","2","136",1
"118","2015-1-14","2","146",2
"119","2015-1-14","2",NA,9
"120","2015-1-14","3","79",1
"121","2015-1-14","3","83",1
"122","2015-1-14","3","89",1
"123","2015-1-14","3","90",1
"124","2015-1-14","3",NA,6
"125","2015-1-15","1","76",1
"126","2015-1-15","1","80",1
"127","2015-1-15","1","82",1
"128","2015-1-15","1","87",1
"129","2015-1-15","1","109",1
"130","2015-1-15","1","116",1
"131","2015-1-15","1","119",1
"132","2015-1-15","1","146",1
"133","2015-1-15","1","149",1
"134","2015-1-15","1",NA,6
"135","2015-1-15","2","109",1
"136","2015-1-15","2","112",1
"137","2015-1-15","2","116",1
"138","2015-1-15","2","117",1
"139","2015-1-15","2","120",1
"140","2015-1-15","2","138",1
"141","2015-1-15","2","150",2
"142","2015-1-15","2",NA,10
"143","2015-1-15","3","89",1
"144","2015-1-15","3","90",1
"145","2015-1-15","3","137",1
"146","2015-1-15","3","138",1
"147","2015-1-15","3",NA,9
"148","2015-1-16","1","88",1
"149","2015-1-16","1","89",1
"150","2015-1-16","1","109",1
"151","2015-1-16","1","138",1
"152","2015-1-16","1",NA,7
"153","2015-1-16","2","79",1
"154","2015-1-16","2","89",1
"155","2015-1-16","2","107",1
"156","2015-1-16","2","119",1
"157","2015-1-16","2","136",1
"158","2015-1-16","2","142",1
"159","2015-1-16","2","146",2
"160","2015-1-16","2","148",1
"161","2015-1-16","2",NA,12
"162","2015-1-16","3","83",1
"163","2015-1-16","3","88",1
"164","2015-1-16","3","118",2
"165","2015-1-16","3","119",1
"166","2015-1-16","3","144",1
"167","2015-1-16","3",NA,9
"168","2015-1-17","1","78",1
"169","2015-1-17","1","81",1
"170","2015-1-17","1","114",1
"171","2015-1-17","1","120",1
"172","2015-1-17","1","140",1
"173","2015-1-17","1","146",1
"174","2015-1-17","1",NA,12
"175","2015-1-17","2","78",1
"176","2015-1-17","2","80",1
"177","2015-1-17","2","81",2
"178","2015-1-17","2","107",1
"179","2015-1-17","2","108",1
"180","2015-1-17","2","112",1
"181","2015-1-17","2","118",1
"182","2015-1-17","2","142",2
"183","2015-1-17","2",NA,4
"184","2015-1-17","3","88",2
"185","2015-1-17","3","90",2
"186","2015-1-17","3","111",1
"187","2015-1-17","3","119",1
"188","2015-1-17","3","141",1
"189","2015-1-17","3","145",1
"190","2015-1-17","3","149",1
"191","2015-1-17","3","150",1
"192","2015-1-17","3",NA,7
"193","2015-1-18","1","79",2
"194","2015-1-18","1","80",1
"195","2015-1-18","1","82",1
"196","2015-1-18","1","114",1
"197","2015-1-18","1","146",1
"198","2015-1-18","1",NA,2
"199","2015-1-18","2","79",1
"200","2015-1-18","2","119",1
"201","2015-1-18","2","144",1
"202","2015-1-18","2",NA,3
"203","2015-1-18","3","89",1
"204","2015-1-18","3","90",1
"205","2015-1-18","3","109",1
"206","2015-1-18","3","110",1
"207","2015-1-18","3",NA,5
"208","2015-1-19","1",NA,5
"209","2015-1-19","2","78",1
"210","2015-1-19","2","82",1
"211","2015-1-19","2","89",2
"212","2015-1-19","2","117",2
"213","2015-1-19","2","119",1
"214","2015-1-19","2","144",2
"215","2015-1-19","2","145",1
"216","2015-1-19","2","146",1
"217","2015-1-19","2",NA,13
"218","2015-1-19","3","86",1
"219","2015-1-19","3","88",1
"220","2015-1-19","3","146",1
"221","2015-1-19","3",NA,5
"222","2015-1-2","1","78",1
"223","2015-1-2","1","79",1
"224","2015-1-2","1","89",1
"225","2015-1-2","1","90",2
"226","2015-1-2","1","118",1
"227","2015-1-2","1","150",1
"228","2015-1-2","1",NA,10
"229","2015-1-2","2","84",1
"230","2015-1-2","2","88",1
"231","2015-1-2","2","115",1
"232","2015-1-2","2",NA,8
"233","2015-1-2","3","115",1
"234","2015-1-2","3","136",1
"235","2015-1-2","3","149",1
"236","2015-1-2","3",NA,1
"237","2015-1-20","1","80",1
"238","2015-1-20","1","90",1
"239","2015-1-20","1","114",2
"240","2015-1-20","1","117",1
"241","2015-1-20","1",NA,7
"242","2015-1-20","2","78",1
"243","2015-1-20","2","79",1
"244","2015-1-20","2","80",1
"245","2015-1-20","2","81",1
"246","2015-1-20","2","82",1
"247","2015-1-20","2","84",1
"248","2015-1-20","2","90",1
"249","2015-1-20","2","112",1
"250","2015-1-20","2","115",1
"251","2015-1-20","2","117",1
"252","2015-1-20","2","120",1
"253","2015-1-20","2","142",1
"254","2015-1-20","2",NA,14
"255","2015-1-20","3","112",1
"256","2015-1-20","3",NA,6
"257","2015-1-21","1","87",1
"258","2015-1-21","1","120",2
"259","2015-1-21","1","149",1
"260","2015-1-21","1","150",1
"261","2015-1-21","1",NA,9
"262","2015-1-21","2","78",1
"263","2015-1-21","2","79",2
"264","2015-1-21","2","87",1
"265","2015-1-21","2","107",2
"266","2015-1-21","2","112",1
"267","2015-1-21","2","119",1
"268","2015-1-21","2","138",1
"269","2015-1-21","2","144",1
"270","2015-1-21","2",NA,15
"271","2015-1-21","3","111",1
"272","2015-1-21","3","149",1
"273","2015-1-21","3",NA,2
"274","2015-1-22","1","113",1
"275","2015-1-22","1","148",1
"276","2015-1-22","1",NA,5
"277","2015-1-22","2","76",1
"278","2015-1-22","2","79",3
"279","2015-1-22","2","89",2
"280","2015-1-22","2","107",3
"281","2015-1-22","2","114",1
"282","2015-1-22","2","115",2
"283","2015-1-22","2","144",1
"284","2015-1-22","2",NA,11
"285","2015-1-22","3","82",1
"286","2015-1-22","3","87",1
"287","2015-1-22","3","115",1
"288","2015-1-22","3","119",1
"289","2015-1-22","3",NA,2
"290","2015-1-23","1","113",1
"291","2015-1-23","1","148",1
"292","2015-1-23","1",NA,5
"293","2015-1-23","2","81",1
"294","2015-1-23","2","110",1
"295","2015-1-23","2","116",1
"296","2015-1-23","2","117",1
"297","2015-1-23","2","119",1
"298","2015-1-23","2","141",1
"299","2015-1-23","2",NA,11
"300","2015-1-23","3","90",1
"301","2015-1-23","3","145",1
"302","2015-1-23","3",NA,4
"303","2015-1-24","1","81",1
"304","2015-1-24","1","90",1
"305","2015-1-24","1","116",1
"306","2015-1-24","1",NA,3
"307","2015-1-24","2","114",1
"308","2015-1-24","2","115",1
"309","2015-1-24","2","138",1
"310","2015-1-24","2","150",1
"311","2015-1-24","2",NA,10
"312","2015-1-24","3","115",1
"313","2015-1-24","3","142",1
"314","2015-1-24","3",NA,4
"315","2015-1-25","1","89",1
"316","2015-1-25","1","137",1
"317","2015-1-25","1","139",1
"318","2015-1-25","1","148",1
"319","2015-1-25","1","150",1
"320","2015-1-25","1",NA,3
"321","2015-1-25","2","81",1
"322","2015-1-25","2","84",1
"323","2015-1-25","2","88",1
"324","2015-1-25","2","90",1
"325","2015-1-25","2","107",1
"326","2015-1-25","2","137",1
"327","2015-1-25","2","148",1
"328","2015-1-25","2","150",2
"329","2015-1-25","2",NA,7
"330","2015-1-25","3","77",1
"331","2015-1-25","3","81",1
"332","2015-1-25","3","88",1
"333","2015-1-25","3","115",1
"334","2015-1-25","3","143",1
"335","2015-1-25","3","146",2
"336","2015-1-25","3",NA,3
"337","2015-1-26","1","81",1
"338","2015-1-26","1","110",2
"339","2015-1-26","1","119",2
"340","2015-1-26","1","150",1
"341","2015-1-26","1",NA,13
"342","2015-1-26","2","77",1
"343","2015-1-26","2","82",3
"344","2015-1-26","2","87",1
"345","2015-1-26","2","90",1
"346","2015-1-26","2","150",1
"347","2015-1-26","2",NA,13
"348","2015-1-26","3","79",1
"349","2015-1-26","3","88",1
"350","2015-1-26","3","90",1
"351","2015-1-26","3","108",1
"352","2015-1-26","3",NA,7
"353","2015-1-27","1","82",1
"354","2015-1-27","1","88",1
"355","2015-1-27","1","89",2
"356","2015-1-27","1","120",1
"357","2015-1-27","1","138",1
"358","2015-1-27","1",NA,9
"359","2015-1-27","2","81",1
"360","2015-1-27","2","88",1
"361","2015-1-27","2","90",3
"362","2015-1-27","2","107",1
"363","2015-1-27","2","110",1
"364","2015-1-27","2","115",1
"365","2015-1-27","2","116",1
"366","2015-1-27","2","120",1
"367","2015-1-27","2","148",1
"368","2015-1-27","2","149",1
"369","2015-1-27","2",NA,11
"370","2015-1-27","3","76",1
"371","2015-1-27","3","78",1
"372","2015-1-27","3","89",1
"373","2015-1-27","3",NA,4
"374","2015-1-28","1","80",1
"375","2015-1-28","1","136",1
"376","2015-1-28","1","142",1
"377","2015-1-28","1",NA,8
"378","2015-1-28","2","90",1
"379","2015-1-28","2","108",1
"380","2015-1-28","2","118",1
"381","2015-1-28","2","120",1
"382","2015-1-28","2","139",1
"383","2015-1-28","2","144",1
"384","2015-1-28","2",NA,10
"385","2015-1-28","3","77",1
"386","2015-1-28","3","88",1
"387","2015-1-28","3","107",1
"388","2015-1-28","3","149",1
"389","2015-1-28","3",NA,6
"390","2015-1-29","1","88",1
"391","2015-1-29","1","109",2
"392","2015-1-29","1","110",1
"393","2015-1-29","1",NA,3
"394","2015-1-29","2","79",1
"395","2015-1-29","2","82",1
"396","2015-1-29","2","86",2
"397","2015-1-29","2","88",1
"398","2015-1-29","2","108",1
"399","2015-1-29","2","116",1
"400","2015-1-29","2",NA,8
"401","2015-1-29","3","78",1
"402","2015-1-29","3","79",1
"403","2015-1-29","3","82",2
"404","2015-1-29","3",NA,3
"405","2015-1-3","1","88",1
"406","2015-1-3","1","89",3
"407","2015-1-3","1",NA,9
"408","2015-1-3","2","77",1
"409","2015-1-3","2","79",1
"410","2015-1-3","2","80",1
"411","2015-1-3","2","88",2
"412","2015-1-3","2","90",2
"413","2015-1-3","2","115",2
"414","2015-1-3","2","117",1
"415","2015-1-3","2","120",1
"416","2015-1-3","2","136",1
"417","2015-1-3","2","137",2
"418","2015-1-3","2","138",1
"419","2015-1-3","2","139",1
"420","2015-1-3","2","141",1
"421","2015-1-3","2","144",1
"422","2015-1-3","2",NA,11
"423","2015-1-3","3","79",1
"424","2015-1-3","3","80",2
"425","2015-1-3","3","81",1
"426","2015-1-3","3","88",1
"427","2015-1-3","3","90",2
"428","2015-1-3","3","107",1
"429","2015-1-3","3","117",1
"430","2015-1-3","3","119",1
"431","2015-1-3","3","120",1
"432","2015-1-3","3","137",1
"433","2015-1-3","3","146",2
"434","2015-1-3","3",NA,13
"435","2015-1-30","1","90",1
"436","2015-1-30","1","108",1
"437","2015-1-30","1","113",1
"438","2015-1-30","1","141",1
"439","2015-1-30","1",NA,14
"440","2015-1-30","2","81",1
"441","2015-1-30","2","84",1
"442","2015-1-30","2","86",1
"443","2015-1-30","2","90",1
"444","2015-1-30","2","106",1
"445","2015-1-30","2","114",2
"446","2015-1-30","2","139",1
"447","2015-1-30","2","140",1
"448","2015-1-30","2","146",1
"449","2015-1-30","2",NA,7
"450","2015-1-30","3","82",1
"451","2015-1-30","3","84",1
"452","2015-1-30","3","119",1
"453","2015-1-30","3",NA,5
"454","2015-1-31","1","88",1
"455","2015-1-31","1","89",1
"456","2015-1-31","1","90",2
"457","2015-1-31","1","110",1
"458","2015-1-31","1","119",1
"459","2015-1-31","1","144",1
"460","2015-1-31","1",NA,6
"461","2015-1-31","2","80",1
"462","2015-1-31","2","88",1
"463","2015-1-31","2","89",1
"464","2015-1-31","2","90",2
"465","2015-1-31","2","117",1
"466","2015-1-31","2","139",1
"467","2015-1-31","2",NA,7
"468","2015-1-31","3","78",1
"469","2015-1-31","3","82",1
"470","2015-1-31","3","90",1
"471","2015-1-31","3","114",1
"472","2015-1-31","3","119",1
"473","2015-1-31","3","120",1
"474","2015-1-31","3","137",1
"475","2015-1-31","3",NA,3
"476","2015-1-4","1","119",1
"477","2015-1-4","1","137",1
"478","2015-1-4","1","143",1
"479","2015-1-4","1","146",1
"480","2015-1-4","1",NA,3
"481","2015-1-4","2","79",1
"482","2015-1-4","2","82",2
"483","2015-1-4","2","84",1
"484","2015-1-4","2","88",1
"485","2015-1-4","2","90",1
"486","2015-1-4","2","107",1
"487","2015-1-4","2","118",1
"488","2015-1-4","2","120",1
"489","2015-1-4","2",NA,8
"490","2015-1-4","3","88",1
"491","2015-1-4","3","107",1
"492","2015-1-4","3","114",1
"493","2015-1-4","3","119",1
"494","2015-1-4","3","120",3
"495","2015-1-4","3","139",1
"496","2015-1-4","3",NA,1
"497","2015-1-5","1","76",1
"498","2015-1-5","1","79",1
"499","2015-1-5","1","88",1
"500","2015-1-5","1","90",5
"501","2015-1-5","1","107",1
"502","2015-1-5","1","139",1
"503","2015-1-5","1","150",2
"504","2015-1-5","1",NA,9
"505","2015-1-5","2","80",1
"506","2015-1-5","2","88",1
"507","2015-1-5","2","107",2
"508","2015-1-5","2","110",1
"509","2015-1-5","2","112",1
"510","2015-1-5","2",NA,11
"511","2015-1-5","3","89",1
"512","2015-1-5","3","117",1
"513","2015-1-5","3","120",1
"514","2015-1-5","3","138",1
"515","2015-1-5","3",NA,8
"516","2015-1-6","1","89",1
"517","2015-1-6","1","107",1
"518","2015-1-6","1","141",1
"519","2015-1-6","1","144",1
"520","2015-1-6","1",NA,5
"521","2015-1-6","2","107",1
"522","2015-1-6","2","109",1
"523","2015-1-6","2","112",1
"524","2015-1-6","2","143",1
"525","2015-1-6","2","148",1
"526","2015-1-6","2",NA,3
"527","2015-1-6","3","82",1
"528","2015-1-6","3","86",1
"529","2015-1-6","3","90",1
"530","2015-1-6","3",NA,2
"531","2015-1-7","1","78",2
"532","2015-1-7","1","82",2
"533","2015-1-7","1","86",1
"534","2015-1-7","1","88",1
"535","2015-1-7","1","90",1
"536","2015-1-7","1","110",1
"537","2015-1-7","1","139",1
"538","2015-1-7","1",NA,5
"539","2015-1-7","2","76",1
"540","2015-1-7","2","79",2
"541","2015-1-7","2","89",1
"542","2015-1-7","2","90",1
"543","2015-1-7","2","147",1
"544","2015-1-7","2",NA,4
"545","2015-1-7","3","81",1
"546","2015-1-7","3","90",1
"547","2015-1-7","3","120",1
"548","2015-1-7","3",NA,8
"549","2015-1-8","1","87",1
"550","2015-1-8","1","90",1
"551","2015-1-8","1","144",1
"552","2015-1-8","1","147",1
"553","2015-1-8","1",NA,8
"554","2015-1-8","2","81",1
"555","2015-1-8","2","88",1
"556","2015-1-8","2","90",2
"557","2015-1-8","2","110",2
"558","2015-1-8","2","115",1
"559","2015-1-8","2","116",1
"560","2015-1-8","2","137",1
"561","2015-1-8","2","138",2
"562","2015-1-8","2","139",1
"563","2015-1-8","2","149",1
"564","2015-1-8","2",NA,13
"565","2015-1-8","3","80",1
"566","2015-1-8","3","81",1
"567","2015-1-8","3","82",2
"568","2015-1-8","3","87",1
"569","2015-1-8","3","90",1
"570","2015-1-8","3","119",1
"571","2015-1-8","3","137",1
"572","2015-1-8","3","139",1
"573","2015-1-8","3","146",1
"574","2015-1-8","3",NA,10
"575","2015-1-9","1","79",1
"576","2015-1-9","1","88",1
"577","2015-1-9","1","90",1
"578","2015-1-9","1","107",1
"579","2015-1-9","1","144",1
"580","2015-1-9","1",NA,7
"581","2015-1-9","2","81",1
"582","2015-1-9","2","82",1
"583","2015-1-9","2","83",3
"584","2015-1-9","2","87",1
