"","month_2","region","count"
"1",1,"5",1
"2",1,"6",4
"3",1,"10",1
"4",1,"11",1
"5",1,"12",6
"6",1,"13",19
"7",1,"14",21
"8",1,"15",16
"9",1,"16",11
"10",1,"17",10
"11",1,"18",16
"12",1,"19",17
"13",1,"20",13
"14",1,"21",14
"15",1,"22",19
"16",1,"23",5
"17",1,"24",2
"18",1,"25",5
"19",1,"26",6
"20",1,"27",8
"21",1,"28",5
"22",1,"29",9
"23",1,"30",7
"24",1,"44",2
"25",1,"45",3
"26",1,"46",6
"27",1,"47",9
"28",1,"48",9
"29",1,"49",4
"30",1,"50",1
"31",1,"52",5
"32",1,"53",7
"33",1,"54",2
"34",1,"55",6
"35",1,"56",1
"36",1,"57",3
"37",1,"58",1
"38",2,"5",2
"39",2,"6",2
"40",2,"12",8
"41",2,"13",12
"42",2,"14",14
"43",2,"15",10
"44",2,"16",10
"45",2,"17",10
"46",2,"18",8
"47",2,"19",16
"48",2,"20",13
"49",2,"21",10
"50",2,"22",6
"51",2,"23",9
"52",2,"24",7
"53",2,"25",8
"54",2,"26",14
"55",2,"27",6
"56",2,"29",4
"57",2,"30",2
"58",2,"45",7
"59",2,"46",4
"60",2,"47",14
"61",2,"48",2
"62",2,"49",4
"63",2,"50",1
"64",2,"51",1
"65",2,"52",2
"66",2,"53",6
"67",2,"54",7
"68",2,"56",1
"69",2,"57",2
"70",2,"58",1
"71",3,"11",1
"72",3,"12",8
"73",3,"13",16
"74",3,"14",14
"75",3,"15",14
"76",3,"16",12
"77",3,"17",5
"78",3,"18",11
"79",3,"19",18
"80",3,"20",8
"81",3,"21",16
"82",3,"22",8
"83",3,"23",7
"84",3,"24",9
"85",3,"25",14
"86",3,"26",11
"87",3,"27",2
"88",3,"28",4
"89",3,"29",6
"90",3,"30",3
"91",3,"44",1
"92",3,"45",9
"93",3,"46",2
"94",3,"47",6
"95",3,"48",6
"96",3,"49",2
"97",3,"50",2
"98",3,"52",3
"99",3,"53",8
"100",3,"54",9
"101",3,"55",2
"102",3,"56",5
"103",3,"57",2
"104",3,"58",1
"105",4,"5",2
"106",4,"6",5
"107",4,"12",6
"108",4,"13",6
"109",4,"14",13
"110",4,"15",10
"111",4,"16",8
"112",4,"17",9
"113",4,"18",12
"114",4,"19",21
"115",4,"20",11
"116",4,"21",14
"117",4,"22",11
"118",4,"23",11
"119",4,"24",7
"120",4,"25",9
"121",4,"26",10
"122",4,"27",7
"123",4,"28",6
"124",4,"29",6
"125",4,"30",2
"126",4,"45",6
"127",4,"46",10
"128",4,"47",11
"129",4,"48",6
"130",4,"49",4
"131",4,"50",2
"132",4,"52",5
"133",4,"53",6
"134",4,"54",7
"135",4,"55",1
"136",4,"56",1
"137",4,"57",5
"138",5,"5",1
"139",5,"6",3
"140",5,"12",4
"141",5,"13",19
"142",5,"14",17
"143",5,"15",13
"144",5,"16",18
"145",5,"17",7
"146",5,"18",11
"147",5,"19",24
"148",5,"20",13
"149",5,"21",22
"150",5,"22",10
"151",5,"23",9
"152",5,"24",6
"153",5,"25",5
"154",5,"26",9
"155",5,"27",7
"156",5,"28",5
"157",5,"29",8
"158",5,"30",2
"159",5,"44",2
"160",5,"45",6
"161",5,"46",5
"162",5,"47",11
"163",5,"48",10
"164",5,"49",3
"165",5,"50",3
"166",5,"51",1
"167",5,"52",2
"168",5,"53",10
"169",5,"54",11
"170",5,"55",4
"171",5,"56",5
"172",5,"57",2
"173",6,"5",1
"174",6,"6",1
"175",6,"12",15
"176",6,"13",8
"177",6,"14",11
"178",6,"15",16
"179",6,"16",21
"180",6,"17",8
"181",6,"18",7
"182",6,"19",17
"183",6,"20",11
"184",6,"21",9
"185",6,"22",6
"186",6,"23",11
"187",6,"24",3
