"","month_2","region","count"
"1",1,"6",2
"2",1,"12",4
"3",1,"13",5
"4",1,"14",5
"5",1,"15",3
"6",1,"16",8
"7",1,"17",2
"8",1,"18",4
"9",1,"19",10
"10",1,"20",16
"11",1,"21",7
"12",1,"22",2
"13",1,"23",1
"14",1,"27",1
"15",1,"28",1
"16",1,"29",2
"17",1,"45",4
"18",1,"46",3
"19",1,"47",6
"20",1,"48",1
"21",1,"50",4
"22",1,"53",2
"23",1,"54",7
"24",1,"57",1
"25",2,"11",1
"26",2,"12",3
"27",2,"13",1
"28",2,"14",5
"29",2,"15",7
"30",2,"16",6
"31",2,"17",2
"32",2,"18",5
"33",2,"19",4
"34",2,"20",7
"35",2,"21",5
"36",2,"22",1
"37",2,"23",2
"38",2,"25",1
"39",2,"29",2
"40",2,"47",2
"41",2,"49",3
"42",2,"50",1
"43",2,"52",2
"44",3,"5",1
"45",3,"11",1
"46",3,"12",2
"47",3,"13",6
"48",3,"14",5
"49",3,"15",6
"50",3,"16",9
"51",3,"17",2
"52",3,"18",1
"53",3,"19",4
"54",3,"20",9
"55",3,"21",15
"56",3,"22",2
"57",3,"23",1
"58",3,"26",1
"59",3,"28",1
"60",3,"47",1
"61",3,"49",1
"62",3,"50",4
"63",3,"52",1
"64",3,"55",2
"65",4,"12",2
"66",4,"13",1
"67",4,"14",6
"68",4,"15",7
"69",4,"16",4
"70",4,"17",2
"71",4,"18",10
"72",4,"19",3
"73",4,"20",4
"74",4,"21",6
"75",4,"22",7
"76",4,"44",1
"77",4,"45",2
"78",4,"46",1
"79",4,"48",1
"80",4,"49",1
"81",4,"50",6
"82",4,"52",2
"83",4,"53",2
"84",4,"54",5
"85",4,"55",1
"86",4,"57",2
"87",5,"12",1
"88",5,"13",3
"89",5,"14",4
"90",5,"15",12
"91",5,"16",11
"92",5,"17",2
"93",5,"18",11
"94",5,"19",6
"95",5,"20",10
"96",5,"21",15
"97",5,"22",1
"98",5,"23",4
"99",5,"25",1
"100",5,"29",2
"101",5,"44",3
"102",5,"45",2
"103",5,"46",1
"104",5,"47",4
"105",5,"48",3
"106",5,"49",3
"107",5,"50",6
"108",5,"52",2
