"","month_2","region","count"
"1",1,"6",3
"2",1,"8",1
"3",1,"10",1
"4",1,"11",13
"5",1,"12",18
"6",1,"13",27
"7",1,"14",31
"8",1,"15",17
"9",1,"16",18
"10",1,"17",27
"11",1,"18",25
"12",1,"19",71
"13",1,"20",49
"14",1,"21",47
"15",1,"22",17
"16",1,"23",13
"17",1,"24",6
"18",1,"25",14
"19",1,"26",21
"20",1,"27",2
"21",1,"28",5
"22",1,"29",12
"23",1,"30",1
"24",1,"44",2
"25",1,"45",6
"26",1,"46",1
"27",1,"47",22
"28",1,"48",6
"29",1,"49",5
"30",1,"50",2
"31",1,"51",1
"32",1,"52",14
"33",1,"53",7
"34",1,"54",13
"35",1,"56",7
"36",2,"6",2
"37",2,"7",1
"38",2,"8",1
"39",2,"9",1
"40",2,"10",1
"41",2,"11",17
"42",2,"12",7
"43",2,"13",24
"44",2,"14",14
"45",2,"15",12
"46",2,"16",19
"47",2,"17",27
"48",2,"18",30
"49",2,"19",100
"50",2,"20",43
"51",2,"21",33
"52",2,"22",15
"53",2,"23",3
"54",2,"24",4
"55",2,"25",5
"56",2,"26",17
"57",2,"27",5
"58",2,"28",5
"59",2,"29",2
"60",2,"30",2
"61",2,"44",1
"62",2,"45",8
"63",2,"46",3
"64",2,"47",8
"65",2,"48",2
"66",2,"49",1
"67",2,"50",2
"68",2,"51",2
"69",2,"52",9
"70",2,"53",6
"71",2,"54",11
"72",2,"55",2
"73",2,"56",5
"74",2,"57",5
"75",2,"58",3
"76",3,"6",2
"77",3,"10",2
"78",3,"11",14
"79",3,"12",11
"80",3,"13",24
"81",3,"14",25
"82",3,"15",28
"83",3,"16",21
"84",3,"17",41
"85",3,"18",32
"86",3,"19",87
"87",3,"20",41
"88",3,"21",35
"89",3,"22",8
"90",3,"23",10
"91",3,"24",4
"92",3,"25",9
"93",3,"26",27
"94",3,"27",10
"95",3,"28",5
"96",3,"29",8
"97",3,"30",4
"98",3,"45",3
"99",3,"47",15
"100",3,"48",4
"101",3,"49",7
"102",3,"50",4
"103",3,"51",3
"104",3,"52",13
"105",3,"53",9
"106",3,"54",11
"107",3,"55",1
"108",3,"56",7
"109",3,"57",2
"110",4,"6",2
"111",4,"11",15
"112",4,"12",12
"113",4,"13",32
"114",4,"14",9
"115",4,"15",27
"116",4,"16",31
"117",4,"17",44
"118",4,"18",26
"119",4,"19",77
"120",4,"20",69
"121",4,"21",23
"122",4,"22",16
"123",4,"23",13
"124",4,"24",5
"125",4,"25",8
"126",4,"26",28
"127",4,"27",6
"128",4,"28",7
"129",4,"29",8
"130",4,"30",5
"131",4,"44",1
"132",4,"45",14
"133",4,"46",2
"134",4,"47",15
"135",4,"48",1
"136",4,"49",6
"137",4,"52",11
"138",4,"53",13
"139",4,"54",9
"140",4,"55",5
"141",4,"56",3
"142",4,"57",1
"143",5,"6",2
"144",5,"10",2
"145",5,"11",10
"146",5,"12",19
"147",5,"13",26
"148",5,"14",20
"149",5,"15",29
"150",5,"16",33
"151",5,"17",43
"152",5,"18",29
"153",5,"19",86
"154",5,"20",70
"155",5,"21",35
"156",5,"22",27
"157",5,"23",8
"158",5,"24",8
"159",5,"25",13
"160",5,"26",28
"161",5,"27",11
"162",5,"28",3
"163",5,"29",15
"164",5,"30",3
"165",5,"45",9
"166",5,"46",3
"167",5,"47",23
"168",5,"48",3
"169",5,"49",6
"170",5,"50",5
"171",5,"51",1
"172",5,"52",5
"173",5,"53",11
"174",5,"54",11
"175",5,"55",2
"176",5,"56",7
"177",5,"57",3
"178",6,"5",1
"179",6,"6",2
"180",6,"11",19
"181",6,"12",22
"182",6,"13",38
"183",6,"14",21
"184",6,"15",25
"185",6,"16",27
"186",6,"17",36
"187",6,"18",41
"188",6,"19",84
"189",6,"20",69
"190",6,"21",34
"191",6,"22",20
"192",6,"23",10
"193",6,"24",10
"194",6,"25",19
"195",6,"26",19
"196",6,"27",10
"197",6,"28",6
"198",6,"29",16
"199",6,"30",3
"200",6,"45",4
"201",6,"46",3
"202",6,"47",19
"203",6,"48",3
"204",6,"49",5
"205",6,"50",2
"206",6,"51",6
"207",6,"52",18
"208",6,"53",9
"209",6,"54",7
"210",6,"55",4
"211",6,"56",14
"212",6,"57",5
"213",7,"5",2
"214",7,"6",3
"215",7,"10",2
"216",7,"11",14
"217",7,"12",24
"218",7,"13",38
"219",7,"14",40
"220",7,"15",21
"221",7,"16",36
"222",7,"17",49
"223",7,"18",48
"224",7,"19",88
"225",7,"20",66
"226",7,"21",59
"227",7,"22",25
"228",7,"23",13
"229",7,"24",3
"230",7,"25",18
"231",7,"26",27
"232",7,"27",15
"233",7,"28",7
"234",7,"29",15
"235",7,"30",1
"236",7,"45",7
"237",7,"46",1
"238",7,"47",19
"239",7,"48",1
"240",7,"49",5
"241",7,"50",3
"242",7,"51",3
"243",7,"52",20
"244",7,"53",9
"245",7,"54",14
"246",7,"55",2
"247",7,"56",9
"248",7,"57",3
"249",8,"4",2
"250",8,"5",3
"251",8,"6",12
"252",8,"11",19
"253",8,"12",29
"254",8,"13",28
"255",8,"14",31
"256",8,"15",33
"257",8,"16",19
"258",8,"17",40
"259",8,"18",40
"260",8,"19",96
"261",8,"20",71
"262",8,"21",39
"263",8,"22",25
"264",8,"23",15
"265",8,"24",3
"266",8,"25",12
"267",8,"26",26
"268",8,"27",10
"269",8,"28",5
"270",8,"29",15
"271",8,"30",4
"272",8,"44",1
"273",8,"45",5
"274",8,"46",1
"275",8,"47",10
"276",8,"48",1
"277",8,"49",5
"278",8,"50",4
"279",8,"51",4
"280",8,"52",19
"281",8,"53",11
"282",8,"54",7
"283",8,"55",1
"284",8,"56",8
"285",8,"57",1
"286",9,"6",6
"287",9,"8",1
"288",9,"10",1
"289",9,"11",18
"290",9,"12",18
"291",9,"13",31
"292",9,"14",25
"293",9,"15",18
"294",9,"16",16
"295",9,"17",28
"296",9,"18",35
"297",9,"19",83
"298",9,"20",66
"299",9,"21",28
"300",9,"22",23
"301",9,"23",9
"302",9,"24",7
"303",9,"25",7
"304",9,"26",27
"305",9,"27",13
"306",9,"28",2
"307",9,"29",15
"308",9,"30",3
"309",9,"44",1
"310",9,"45",2
"311",9,"46",1
"312",9,"47",11
"313",9,"48",4
"314",9,"49",6
"315",9,"50",3
"316",9,"51",1
"317",9,"52",15
"318",9,"53",13
"319",9,"54",8
"320",9,"55",1
"321",9,"56",4
"322",9,"57",4
"323",9,"58",2
"324",10,"5",1
"325",10,"6",3
"326",10,"8",2
"327",10,"11",19
"328",10,"12",21
"329",10,"13",38
"330",10,"14",16
"331",10,"15",21
"332",10,"16",28
"333",10,"17",26
"334",10,"18",35
"335",10,"19",74
"336",10,"20",55
"337",10,"21",31
"338",10,"22",12
"339",10,"23",7
"340",10,"24",4
"341",10,"25",11
"342",10,"26",26
"343",10,"27",11
"344",10,"28",6
"345",10,"29",5
"346",10,"30",2
"347",10,"45",5
"348",10,"46",5
"349",10,"47",12
"350",10,"48",5
"351",10,"49",3
"352",10,"50",4
"353",10,"51",1
"354",10,"52",22
"355",10,"53",16
"356",10,"54",13
"357",10,"56",11
"358",10,"57",2
"359",10,"58",1
"360",11,"5",1
"361",11,"6",6
"362",11,"11",10
"363",11,"12",10
"364",11,"13",18
"365",11,"14",14
"366",11,"15",37
"367",11,"16",18
"368",11,"17",30
"369",11,"18",29
"370",11,"19",84
"371",11,"20",62
"372",11,"21",35
"373",11,"22",8
"374",11,"23",11
"375",11,"24",5
"376",11,"25",9
"377",11,"26",14
"378",11,"27",11
"379",11,"28",7
"380",11,"29",18
"381",11,"30",1
"382",11,"45",4
"383",11,"46",3
"384",11,"47",8
"385",11,"48",4
"386",11,"49",3
"387",11,"50",3
"388",11,"51",1
"389",11,"52",10
"390",11,"53",12
"391",11,"54",9
"392",11,"55",2
"393",11,"56",2
"394",11,"57",2
"395",11,"58",1
"396",12,"6",3
"397",12,"8",1
"398",12,"9",1
"399",12,"11",19
"400",12,"12",8
"401",12,"13",27
"402",12,"14",19
"403",12,"15",20
"404",12,"16",29
"405",12,"17",46
"406",12,"18",47
"407",12,"19",62
"408",12,"20",50
"409",12,"21",31
"410",12,"22",17
"411",12,"23",11
"412",12,"24",7
"413",12,"25",15
"414",12,"26",27
"415",12,"27",9
"416",12,"28",5
"417",12,"29",11
"418",12,"30",4
"419",12,"44",1
"420",12,"45",8
"421",12,"46",2
"422",12,"47",6
"423",12,"48",2
"424",12,"49",5
"425",12,"50",4
"426",12,"51",1
"427",12,"52",11
"428",12,"53",10
"429",12,"54",11
"430",12,"55",1
"431",12,"56",8
"432",12,"57",4
"433",12,"58",2
"434",13,"5",2
"435",13,"6",2
"436",13,"8",2
"437",13,"10",1
"438",13,"11",16
"439",13,"12",21
"440",13,"13",21
"441",13,"14",11
"442",13,"15",23
"443",13,"16",18
"444",13,"17",24
"445",13,"18",38
"446",13,"19",80
"447",13,"20",40
"448",13,"21",26
"449",13,"22",23
"450",13,"23",10
"451",13,"24",1
"452",13,"25",10
"453",13,"26",27
"454",13,"27",13
"455",13,"28",8
"456",13,"29",13
"457",13,"44",1
"458",13,"45",6
"459",13,"46",3
"460",13,"47",10
"461",13,"48",4
"462",13,"49",5
"463",13,"50",3
"464",13,"51",3
"465",13,"52",13
"466",13,"53",12
"467",13,"54",5
"468",13,"55",3
"469",13,"56",9
"470",13,"57",3
"471",14,"5",1
"472",14,"6",3
"473",14,"10",1
"474",14,"11",15
"475",14,"12",15
"476",14,"13",15
"477",14,"14",13
"478",14,"15",20
"479",14,"16",18
"480",14,"17",21
"481",14,"18",22
"482",14,"19",74
"483",14,"20",44
"484",14,"21",28
"485",14,"22",16
"486",14,"23",11
"487",14,"24",2
"488",14,"25",14
"489",14,"26",22
"490",14,"27",7
"491",14,"28",4
"492",14,"29",14
"493",14,"30",1
"494",14,"44",1
"495",14,"45",7
"496",14,"46",3
"497",14,"47",6
"498",14,"48",5
"499",14,"49",4
"500",14,"50",4
"501",14,"51",4
"502",14,"52",11
"503",14,"53",8
"504",14,"54",7
"505",14,"55",1
"506",14,"56",7
"507",14,"57",6
"508",15,"6",3
"509",15,"9",2
"510",15,"10",1
"511",15,"11",17
"512",15,"12",17
"513",15,"13",18
"514",15,"14",17
"515",15,"15",18
"516",15,"16",16
"517",15,"17",25
"518",15,"18",24
"519",15,"19",74
"520",15,"20",46
"521",15,"21",37
"522",15,"22",19
"523",15,"23",5
"524",15,"24",2
"525",15,"25",13
"526",15,"26",21
"527",15,"27",9
"528",15,"28",8
"529",15,"29",10
"530",15,"30",2
"531",15,"45",5
"532",15,"46",1
"533",15,"47",4
"534",15,"49",3
"535",15,"50",2
"536",15,"51",2
"537",15,"52",7
"538",15,"53",14
"539",15,"54",11
"540",15,"55",1
"541",15,"56",7
"542",15,"57",7
"543",16,"5",2
"544",16,"6",6
"545",16,"8",1
"546",16,"10",2
"547",16,"11",17
"548",16,"12",18
"549",16,"13",31
"550",16,"14",7
"551",16,"15",17
"552",16,"16",20
"553",16,"17",30
"554",16,"18",33
"555",16,"19",98
"556",16,"20",45
"557",16,"21",44
"558",16,"22",12
"559",16,"23",6
"560",16,"24",4
"561",16,"25",8
"562",16,"26",32
"563",16,"27",5
"564",16,"28",6
"565",16,"29",11
"566",16,"30",3
"567",16,"45",4
"568",16,"46",1
"569",16,"47",16
"570",16,"48",3
"571",16,"49",4
"572",16,"50",7
"573",16,"51",6
"574",16,"52",22
"575",16,"53",9
"576",16,"54",9
"577",16,"55",1
"578",16,"56",1
"579",16,"57",2
"580",17,"6",1
"581",17,"11",22
"582",17,"12",14
"583",17,"13",23
"584",17,"14",13
"585",17,"15",27
"586",17,"16",17
"587",17,"17",31
"588",17,"18",35
"589",17,"19",99
"590",17,"20",44
"591",17,"21",32
"592",17,"22",26
"593",17,"23",5
"594",17,"24",2
"595",17,"25",8
"596",17,"26",22
"597",17,"27",4
"598",17,"28",5
"599",17,"29",6
"600",17,"30",1
"601",17,"45",4
"602",17,"47",3
"603",17,"48",1
"604",17,"49",5
"605",17,"50",5
"606",17,"51",1
"607",17,"52",18
"608",17,"53",13
"609",17,"54",13
"610",17,"55",4
"611",17,"56",12
"612",17,"57",2
"613",18,"6",6
"614",18,"10",3
"615",18,"11",8
"616",18,"12",14
"617",18,"13",33
"618",18,"14",21
"619",18,"15",28
"620",18,"16",20
"621",18,"17",21
"622",18,"18",35
"623",18,"19",79
"624",18,"20",74
"625",18,"21",45
"626",18,"22",20
"627",18,"23",11
"628",18,"24",4
"629",18,"25",16
"630",18,"26",29
