,0,1
0,0,5
1,20141002,5
2,20141003,5
3,20141004,6
4,20141005,6
5,20141006,7
6,20141007,7
7,20141008,8
8,20141009,9
9,20141010,10
10,20141011,10
11,20141012,12
12,20141013,10
13,20141014,11
14,20141015,11
15,20141016,11
16,20141017,10
17,20141018,11
18,20141019,11
19,20141020,10
20,20141021,10
21,20141022,13
22,20141023,12
23,20141024,13
24,20141025,10
25,20141026,13
26,20141027,11
27,20141028,10
28,20141029,11
29,20141030,13
30,20141031,10
31,20141101,10
32,20141102,11
33,20141103,10
34,20141104,12
35,20141105,11
36,20141106,12
37,20141107,12
38,20141108,12
39,20141109,12
40,20141110,12
41,20141111,11
42,20141112,14
43,20141113,10
44,20141114,11
45,20141115,11
46,20141116,9
47,20141117,11
48,20141118,11
49,20141119,11
50,20141120,11
51,20141121,10
52,20141122,10
53,20141123,11
54,20141124,11
55,20141125,11
56,20141126,11
57,20141127,10
58,20141128,11
59,20141129,12
60,20141130,11
61,20141201,12
62,20141202,11
63,20141203,13
64,20141204,12
65,20141205,12
66,20141206,14
67,20141207,11
68,20141208,11
69,20141209,12
70,20141210,12
71,20141211,12
72,20141212,10
73,20141213,10
74,20141214,13
75,20141215,11
76,20141216,12
77,20141217,12
78,20141218,13
79,20141219,11
80,20141220,12
81,20141221,11
82,20141222,11
83,20141223,11
84,20141224,12
85,20141225,10
86,20141226,12
87,20141227,12
88,20141228,11
89,20141229,13
90,20141230,12
91,20141231,12
92,20150101,14
93,20150102,16
94,20150103,13
95,20150104,14
96,20150105,14
97,20150106,15
98,20150107,15
99,20150108,12
100,20150109,14
101,20150110,18
102,20150111,12
103,20150112,15
104,20150113,17
105,20150114,12
106,20150115,12
107,20150116,11
108,20150117,11
109,20150118,12
110,20150119,12
111,20150120,10
112,20150121,11
113,20150122,10
114,20150123,10
115,20150124,10
116,20150125,11
117,20150126,14
118,20150127,12
119,20150128,12
120,20150129,12
121,20150130,12
122,20150131,14
123,20150201,12
124,20150202,15
125,20150203,12
126,20150204,12
127,20150205,14
128,20150206,12
129,20150207,11
130,20150208,11
131,20150209,13
132,20150210,11
133,20150211,12
134,20150212,12
135,20150213,11
136,20150214,11
137,20150215,12
138,20150216,13
139,20150217,12
140,20150218,12
141,20150219,12
142,20150220,12
143,20150221,12
144,20150222,14
145,20150223,15
146,20150224,13
147,20150225,14
148,20150226,13
149,20150227,14
150,20150228,15
151,20150301,13
152,20150302,12
153,20150303,15
154,20150304,11
155,20150305,12
156,20150306,13
157,20150307,13
158,20150308,11
159,20150309,11
160,20150310,12
161,20150311,16
162,20150312,12
163,20150313,13
164,20150314,14
165,20150315,11
166,20150316,10
167,20150317,12
168,20150318,12
169,20150319,12
170,20150320,13
171,20150321,13
172,20150322,11
173,20150323,10
174,20150324,11
175,20150325,11
176,20150326,12
177,20150327,12
178,20150328,11
179,20150329,13
180,20150330,13
181,20150331,13
182,20150401,11
183,20150402,12
184,20150403,12
185,20150404,11
186,20150405,13
187,20150406,14
188,20150407,15
189,20150408,13
190,20150409,13
191,20150410,12
192,20150411,12
193,20150412,16
194,20150413,12
195,20150414,10
196,20150415,11
197,20150416,11
198,20150417,11
199,20150418,11
200,20150419,10
201,20150420,10
202,20150421,11
203,20150422,11
204,20150423,12
205,20150424,13
206,20150425,11
207,20150426,11
208,20150427,12
209,20150428,11
210,20150429,12
211,20150430,12
212,20150501,11
213,20150502,12
214,20150503,11
215,20150504,10
216,20150505,11
217,20150506,11
218,20150507,11
219,20150508,11
220,20150509,11
221,20150510,12
222,20150511,11
223,20150512,11
224,20150513,13
225,20150514,14
226,20150515,11
227,20150516,13
228,20150517,13
229,20150518,12
230,20150519,11
231,20150520,11
232,20150521,14
233,20150522,12
234,20150523,14
235,20150524,14
236,20150525,12
237,20150526,13
238,20150527,15
239,20150528,13
240,20150529,14
241,20150530,10
242,20150531,11
243,20150601,10
244,20150602,11
245,20150603,12
246,20150604,11
247,20150605,11
248,20150606,13
249,20150607,12
250,20150608,14
251,20150609,12
252,20150610,11
253,20150611,12
254,20150612,11
255,20150613,13
256,20150614,11
257,20150615,12
258,20150616,11
259,20150617,11
260,20150618,10
261,20150619,12
262,20150620,11
263,20150621,11
264,20150622,12
265,20150623,12
266,20150624,11
267,20150625,14
268,20150626,12
269,20150627,9
270,20150628,13
271,20150629,11
272,20150630,12
273,20150701,13
274,20150702,12
275,20150703,11
276,20150704,11
277,20150705,10
278,20150706,11
279,20150707,13
280,20150708,13
281,20150709,11
282,20150710,13
283,20150711,11
284,20150712,11
285,20150713,13
286,20150714,13
287,20150715,12
288,20150716,12
289,20150717,10
290,20150718,14
291,20150719,11
292,20150720,11
293,20150721,12
294,20150722,10
295,20150723,12
296,20150724,11
297,20150725,12
298,20150726,11
299,20150727,10
300,20150728,11
301,20150729,12
302,20150730,11
303,20150731,13
304,20150801,12
305,20150802,13
306,20150803,13
307,20150804,13
308,20150805,11
309,20150806,14
310,20150807,13
311,20150808,11
312,20150809,12
313,20150810,13
314,20150811,12
315,20150812,12
316,20150813,13
317,20150814,12
318,20150815,11
319,20150816,10
320,20150817,12
321,20150818,11
322,20150819,11
323,20150820,11
324,20150821,10
325,20150822,11
326,20150823,11
327,20150824,13
328,20150825,12
329,20150826,12
330,20150827,14
331,20150828,12
332,20150829,11
333,20150830,11
334,20150831,12
335,20150901,11
336,20150902,12
337,20150903,12
338,20150904,12
339,20150905,12
340,20150906,10
341,20150907,11
342,20150908,11
343,20150909,11
344,20150910,12
345,20150911,11
346,20150912,12
347,20150913,10
348,20150914,12
349,20150915,11
350,20150916,10
351,20150917,11
352,20150918,11
353,20150919,12
354,20150920,12
355,20150921,12
356,20150922,10
357,20150923,10
358,20150924,10
359,20150925,10
360,20150926,12
361,20150927,11
362,20150928,11
363,20150929,11
364,20150930,10
365,20151001,10
366,20151002,11
367,20151003,11
368,20151004,11
369,20151005,10
370,20151006,10
371,20151007,11
372,20151008,11
373,20151009,13
374,20151010,12
375,20151011,12
376,20151012,11
377,20151013,12
378,20151014,12
379,20151015,13
380,20151016,13
381,20151017,12
382,20151018,12
383,20151019,11
384,20151020,11
385,20151021,12
386,20151022,12
387,20151023,13
388,20151024,11
389,20151025,12
390,20151026,11
391,20151027,12
392,20151028,12
393,20151029,12
394,20151030,13
395,20151031,11
396,20151101,11
397,20151102,11
398,20151103,12
399,20151104,12
400,20151105,12
401,20151106,11
402,20151107,11
403,20151108,13
404,20151109,12
405,20151110,11
406,20151111,11
407,20151112,13
408,20151113,13
409,20151114,11
410,20151115,11
411,20151116,14
412,20151117,14
