"","month_2","region","count"
"1",9,"25",1
"2",9,"30",1
"3",10,"5",14
"4",10,"6",88
"5",10,"7",7
"6",10,"8",6
"7",10,"9",4
"8",10,"10",7
"9",10,"11",194
"10",10,"12",552
"11",10,"13",1102
"12",10,"14",1067
"13",10,"15",1516
"14",10,"16",1672
"15",10,"17",12864
"16",10,"18",1626
"17",10,"19",3736
"18",10,"20",3256
"19",10,"21",1695
"20",10,"22",1057
"21",10,"23",702
"22",10,"24",166
"23",10,"25",300
"24",10,"26",683
"25",10,"27",297
"26",10,"28",209
"27",10,"29",592
"28",10,"30",113
"29",10,"44",51
"30",10,"45",406
"31",10,"46",282
"32",10,"47",618
"33",10,"48",177
"34",10,"49",206
"35",10,"50",167
"36",10,"51",64
"37",10,"52",525
"38",10,"53",495
"39",10,"54",472
"40",10,"55",112
"41",10,"56",175
"42",10,"57",207
"43",10,"58",81
"44",10,NA,1
"45",11,"4",1
"46",11,"5",21
"47",11,"6",92
"48",11,"7",7
"49",11,"8",5
"50",11,"9",6
"51",11,"10",7
"52",11,"11",177
"53",11,"12",482
"54",11,"13",956
"55",11,"14",869
"56",11,"15",1291
"57",11,"16",1675
"58",11,"17",11463
"59",11,"18",1467
"60",11,"19",3158
"61",11,"20",2668
"62",11,"21",1523
"63",11,"22",944
"64",11,"23",651
"65",11,"24",124
"66",11,"25",255
"67",11,"26",630
"68",11,"27",248
"69",11,"28",178
"70",11,"29",490
"71",11,"30",115
"72",11,"44",54
"73",11,"45",404
"74",11,"46",277
"75",11,"47",513
"76",11,"48",177
"77",11,"49",184
"78",11,"50",203
"79",11,"51",57
"80",11,"52",451
"81",11,"53",473
"82",11,"54",410
"83",11,"55",77
"84",11,"56",183
"85",11,"57",202
"86",11,"58",83
"87",12,"4",1
"88",12,"5",20
"89",12,"6",78
"90",12,"7",3
"91",12,"8",8
"92",12,"9",3
"93",12,"10",10
"94",12,"11",215
"95",12,"12",527
"96",12,"13",992
"97",12,"14",864
"98",12,"15",1324
"99",12,"16",1617
"100",12,"17",12128
"101",12,"18",1365
"102",12,"19",3153
"103",12,"20",2630
"104",12,"21",1479
"105",12,"22",1005
"106",12,"23",599
"107",12,"24",145
"108",12,"25",232
"109",12,"26",673
"110",12,"27",270
"111",12,"28",161
"112",12,"29",523
"113",12,"30",133
"114",12,"44",41
"115",12,"45",379
"116",12,"46",295
"117",12,"47",567
"118",12,"48",162
"119",12,"49",206
"120",12,"50",215
"121",12,"51",60
"122",12,"52",426
"123",12,"53",490
"124",12,"54",384
"125",12,"55",92
"126",12,"56",199
"127",12,"57",203
"128",12,"58",87
"129",12,NA,1
"130",13,"5",33
"131",13,"6",109
"132",13,"7",5
"133",13,"8",13
"134",13,"9",7
"135",13,"10",3
"136",13,"11",192
"137",13,"12",491
"138",13,"13",1032
"139",13,"14",1007
"140",13,"15",1237
"141",13,"16",1547
"142",13,"17",11597
"143",13,"18",1392
"144",13,"19",3237
"145",13,"20",2615
"146",13,"21",1437
"147",13,"22",904
"148",13,"23",632
"149",13,"24",144
"150",13,"25",350
"151",13,"26",576
"152",13,"27",221
"153",13,"28",195
"154",13,"29",469
"155",13,"30",104
"156",13,"43",1
"157",13,"44",48
"158",13,"45",336
"159",13,"46",177
"160",13,"47",629
"161",13,"48",192
"162",13,"49",223
"163",13,"50",210
"164",13,"51",43
"165",13,"52",385
"166",13,"53",464
"167",13,"54",451
"168",13,"55",85
"169",13,"56",137
"170",13,"57",149
"171",13,"58",63
"172",14,"4",1
"173",14,"5",31
"174",14,"6",106
"175",14,"7",5
"176",14,"8",6
"177",14,"9",4
"178",14,"10",8
"179",14,"11",207
"180",14,"12",416
"181",14,"13",822
"182",14,"14",842
"183",14,"15",998
"184",14,"16",1441
"185",14,"17",10413
"186",14,"18",1286
"187",14,"19",2985
"188",14,"20",2315
"189",14,"21",1177
"190",14,"22",720
"191",14,"23",563
"192",14,"24",112
"193",14,"25",729
"194",14,"26",673
"195",14,"27",212
"196",14,"28",199
"197",14,"29",427
"198",14,"30",89
"199",14,"44",44
"200",14,"45",279
"201",14,"46",201
"202",14,"47",515
"203",14,"48",122
"204",14,"49",188
"205",14,"50",148
"206",14,"51",45
"207",14,"52",418
"208",14,"53",361
"209",14,"54",395
"210",14,"55",64
"211",14,"56",134
"212",14,"57",133
"213",14,"58",60
"214",14,NA,1
"215",15,"4",1
"216",15,"5",30
"217",15,"6",110
"218",15,"7",7
"219",15,"8",6
"220",15,"9",2
"221",15,"10",9
"222",15,"11",177
"223",15,"12",497
"224",15,"13",1073
"225",15,"14",1090
"226",15,"15",1320
"227",15,"16",1807
"228",15,"17",11972
"229",15,"18",1641
"230",15,"19",3432
"231",15,"20",2781
"232",15,"21",1549
"233",15,"22",894
"234",15,"23",604
"235",15,"24",142
"236",15,"25",845
"237",15,"26",708
"238",15,"27",257
"239",15,"28",180
"240",15,"29",522
"241",15,"30",110
"242",15,"44",41
"243",15,"45",333
"244",15,"46",236
"245",15,"47",548
"246",15,"48",197
"247",15,"49",234
"248",15,"50",229
"249",15,"51",51
"250",15,"52",468
"251",15,"53",488
"252",15,"54",400
"253",15,"55",65
"254",15,"56",137
"255",15,"57",202
"256",15,"58",59
"257",15,"60",1
"258",15,NA,2
"259",16,"5",28
"260",16,"6",104
"261",16,"7",7
"262",16,"8",10
"263",16,"9",4
"264",16,"10",2
"265",16,"11",187
"266",16,"12",453
"267",16,"13",1016
"268",16,"14",1072
"269",16,"15",1373
"270",16,"16",1590
"271",16,"17",13700
"272",16,"18",1663
"273",16,"19",3570
"274",16,"20",2919
"275",16,"21",1573
"276",16,"22",969
"277",16,"23",685
"278",16,"24",142
"279",16,"25",743
"280",16,"26",629
"281",16,"27",227
"282",16,"28",233
"283",16,"29",496
"284",16,"30",122
"285",16,"44",54
"286",16,"45",369
"287",16,"46",235
"288",16,"47",591
"289",16,"48",159
"290",16,"49",256
"291",16,"50",317
"292",16,"51",55
"293",16,"52",424
"294",16,"53",515
"295",16,"54",421
"296",16,"55",98
"297",16,"56",151
"298",16,"57",166
"299",16,"58",70
"300",17,"4",2
"301",17,"5",42
"302",17,"6",115
"303",17,"7",5
"304",17,"8",7
"305",17,"9",3
"306",17,"10",11
"307",17,"11",176
"308",17,"12",551
"309",17,"13",1077
"310",17,"14",1160
"311",17,"15",1510
"312",17,"16",1844
"313",17,"17",14453
"314",17,"18",1649
"315",17,"19",3426
"316",17,"20",2992
"317",17,"21",1610
"318",17,"22",975
"319",17,"23",747
"320",17,"24",125
"321",17,"25",815
"322",17,"26",734
"323",17,"27",254
"324",17,"28",201
"325",17,"29",596
"326",17,"30",124
"327",17,"44",49
"328",17,"45",406
"329",17,"46",253
"330",17,"47",608
"331",17,"48",213
"332",17,"49",290
"333",17,"50",290
"334",17,"51",74
"335",17,"52",487
"336",17,"53",519
"337",17,"54",477
"338",17,"55",104
"339",17,"56",187
"340",17,"57",199
"341",17,"58",67
"342",17,NA,5
"343",18,"4",3
"344",18,"5",21
"345",18,"6",104
"346",18,"7",1
"347",18,"8",10
"348",18,"9",2
"349",18,"10",3
"350",18,"11",199
"351",18,"12",501
"352",18,"13",911
"353",18,"14",966
"354",18,"15",1304
"355",18,"16",1700
"356",18,"17",14230
"357",18,"18",1434
"358",18,"19",3228
"359",18,"20",2822
"360",18,"21",1507
"361",18,"22",875
"362",18,"23",709
"363",18,"24",80
"364",18,"25",361
"365",18,"26",676
"366",18,"27",250
"367",18,"28",162
"368",18,"29",615
"369",18,"30",128
"370",18,"44",37
"371",18,"45",378
"372",18,"46",203
"373",18,"47",544
"374",18,"48",201
"375",18,"49",294
"376",18,"50",289
"377",18,"51",63
"378",18,"52",468
"379",18,"53",470
"380",18,"54",454
"381",18,"55",145
"382",18,"56",205
"383",18,"57",220
"384",18,"58",70
