"","shift","ymd","region","count"
"1","1","20141001",5,1
"2","1","20141001",6,4
"3","1","20141001",11,4
"4","1","20141001",12,9
"5","1","20141001",13,24
"6","1","20141001",14,20
"7","1","20141001",15,18
"8","1","20141001",16,21
"9","1","20141001",17,159
"10","1","20141001",18,35
"11","1","20141001",19,60
"12","1","20141001",20,64
"13","1","20141001",21,15
"14","1","20141001",22,26
"15","1","20141001",23,8
"16","1","20141001",24,8
"17","1","20141001",25,7
"18","1","20141001",26,10
"19","1","20141001",27,7
"20","1","20141001",28,5
"21","1","20141001",29,25
"22","1","20141001",30,2
"23","1","20141001",44,2
"24","1","20141001",45,9
"25","1","20141001",46,2
"26","1","20141001",47,10
"27","1","20141001",48,3
"28","1","20141001",49,1
"29","1","20141001",50,2
"30","1","20141001",52,12
"31","1","20141001",53,9
"32","1","20141001",54,6
"33","1","20141001",56,4
"34","1","20141001",57,3
"35","1","20141001",58,4
"36","1","20141002",6,1
"37","1","20141002",11,2
"38","1","20141002",12,11
"39","1","20141002",13,20
"40","1","20141002",14,24
"41","1","20141002",15,17
"42","1","20141002",16,19
"43","1","20141002",17,151
"44","1","20141002",18,26
"45","1","20141002",19,62
"46","1","20141002",20,66
"47","1","20141002",21,29
"48","1","20141002",22,28
"49","1","20141002",23,11
"50","1","20141002",24,3
"51","1","20141002",25,4
"52","1","20141002",26,5
"53","1","20141002",27,12
"54","1","20141002",28,5
"55","1","20141002",29,11
"56","1","20141002",30,1
"57","1","20141002",44,3
"58","1","20141002",45,8
"59","1","20141002",46,2
"60","1","20141002",47,15
"61","1","20141002",48,1
"62","1","20141002",49,3
"63","1","20141002",50,1
"64","1","20141002",52,10
"65","1","20141002",53,8
"66","1","20141002",54,8
"67","1","20141002",55,3
"68","1","20141002",56,2
"69","1","20141002",57,4
"70","1","20141002",58,2
"71","1","20141003",6,3
"72","1","20141003",11,4
"73","1","20141003",12,6
"74","1","20141003",13,24
"75","1","20141003",14,11
"76","1","20141003",15,15
"77","1","20141003",16,27
"78","1","20141003",17,211
"79","1","20141003",18,20
"80","1","20141003",19,53
"81","1","20141003",20,68
"82","1","20141003",21,25
"83","1","20141003",22,12
"84","1","20141003",23,10
"85","1","20141003",24,2
"86","1","20141003",25,6
"87","1","20141003",26,16
"88","1","20141003",27,7
"89","1","20141003",28,4
"90","1","20141003",29,11
"91","1","20141003",45,6
"92","1","20141003",46,2
"93","1","20141003",47,12
"94","1","20141003",48,6
"95","1","20141003",49,8
"96","1","20141003",50,2
"97","1","20141003",51,1
"98","1","20141003",52,11
"99","1","20141003",53,10
"100","1","20141003",54,5
"101","1","20141003",55,2
"102","1","20141003",56,4
"103","1","20141004",11,7
"104","1","20141004",12,6
"105","1","20141004",13,10
"106","1","20141004",14,10
"107","1","20141004",15,18
"108","1","20141004",16,23
"109","1","20141004",17,222
"110","1","20141004",18,25
"111","1","20141004",19,38
"112","1","20141004",20,33
"113","1","20141004",21,12
"114","1","20141004",22,12
"115","1","20141004",23,7
"116","1","20141004",24,1
"117","1","20141004",25,3
"118","1","20141004",26,7
"119","1","20141004",27,6
"120","1","20141004",28,2
"121","1","20141004",29,9
"122","1","20141004",30,5
"123","1","20141004",45,5
"124","1","20141004",46,1
"125","1","20141004",47,8
"126","1","20141004",48,3
"127","1","20141004",49,4
"128","1","20141004",50,2
"129","1","20141004",51,1
"130","1","20141004",52,8
"131","1","20141004",53,4
"132","1","20141004",54,5
"133","1","20141004",55,1
"134","1","20141004",56,1
"135","1","20141004",57,2
"136","1","20141005",6,2
"137","1","20141005",11,2
"138","1","20141005",12,7
"139","1","20141005",13,8
"140","1","20141005",14,8
"141","1","20141005",15,27
"142","1","20141005",16,12
"143","1","20141005",17,165
"144","1","20141005",18,16
"145","1","20141005",19,39
"146","1","20141005",20,40
"147","1","20141005",21,18
"148","1","20141005",22,5
"149","1","20141005",23,8
"150","1","20141005",25,7
"151","1","20141005",26,4
"152","1","20141005",27,5
"153","1","20141005",29,9
"154","1","20141005",30,1
"155","1","20141005",45,2
"156","1","20141005",46,1
"157","1","20141005",47,6
"158","1","20141005",48,4
"159","1","20141005",50,3
"160","1","20141005",52,5
"161","1","20141005",53,2
"162","1","20141005",54,9
"163","1","20141005",55,3
"164","1","20141005",56,1
"165","1","20141005",57,5
"166","1","20141005",58,2
"167","1","20141006",6,1
"168","1","20141006",11,4
"169","1","20141006",12,7
"170","1","20141006",13,22
"171","1","20141006",14,12
"172","1","20141006",15,21
"173","1","20141006",16,21
"174","1","20141006",17,165
"175","1","20141006",18,31
"176","1","20141006",19,51
"177","1","20141006",20,57
"178","1","20141006",21,18
"179","1","20141006",22,13
"180","1","20141006",23,9
"181","1","20141006",24,3
"182","1","20141006",25,7
"183","1","20141006",26,8
"184","1","20141006",27,2
"185","1","20141006",28,3
"186","1","20141006",29,9
"187","1","20141006",30,1
"188","1","20141006",45,3
"189","1","20141006",46,6
"190","1","20141006",47,13
"191","1","20141006",48,3
"192","1","20141006",49,6
"193","1","20141006",50,1
"194","1","20141006",51,1
"195","1","20141006",52,7
"196","1","20141006",53,15
"197","1","20141006",54,9
"198","1","20141006",55,1
"199","1","20141006",56,5
"200","1","20141006",57,2
"201","1","20141007",5,1
"202","1","20141007",6,2
"203","1","20141007",11,5
"204","1","20141007",12,8
"205","1","20141007",13,13
"206","1","20141007",14,15
"207","1","20141007",15,18
"208","1","20141007",16,30
"209","1","20141007",17,143
"210","1","20141007",18,27
"211","1","20141007",19,80
"212","1","20141007",20,53
"213","1","20141007",21,18
"214","1","20141007",22,14
"215","1","20141007",23,10
"216","1","20141007",24,3
"217","1","20141007",25,4
"218","1","20141007",26,13
"219","1","20141007",27,3
"220","1","20141007",28,6
"221","1","20141007",29,9
"222","1","20141007",30,2
"223","1","20141007",45,4
"224","1","20141007",46,4
"225","1","20141007",47,10
"226","1","20141007",48,1
"227","1","20141007",49,5
"228","1","20141007",50,2
"229","1","20141007",52,4
"230","1","20141007",53,8
"231","1","20141007",54,8
"232","1","20141007",55,1
"233","1","20141007",56,1
"234","1","20141007",57,1
"235","1","20141008",11,2
"236","1","20141008",12,8
"237","1","20141008",13,22
"238","1","20141008",14,18
"239","1","20141008",15,24
"240","1","20141008",16,36
"241","1","20141008",17,215
"242","1","20141008",18,28
"243","1","20141008",19,51
"244","1","20141008",20,63
"245","1","20141008",21,32
"246","1","20141008",22,20
"247","1","20141008",23,11
"248","1","20141008",24,3
"249","1","20141008",25,3
"250","1","20141008",26,16
"251","1","20141008",27,5
"252","1","20141008",28,3
"253","1","20141008",29,12
"254","1","20141008",44,1
"255","1","20141008",45,9
"256","1","20141008",46,3
"257","1","20141008",47,12
"258","1","20141008",48,5
"259","1","20141008",49,5
"260","1","20141008",50,2
"261","1","20141008",51,2
"262","1","20141008",52,13
"263","1","20141008",53,11
"264","1","20141008",54,8
"265","1","20141008",55,7
"266","1","20141008",56,2
"267","1","20141008",57,5
"268","1","20141008",58,2
"269","1","20141009",11,4
"270","1","20141009",12,9
"271","1","20141009",13,15
"272","1","20141009",14,13
"273","1","20141009",15,27
"274","1","20141009",16,27
"275","1","20141009",17,155
"276","1","20141009",18,31
"277","1","20141009",19,69
"278","1","20141009",20,77
"279","1","20141009",21,19
"280","1","20141009",22,15
"281","1","20141009",23,16
"282","1","20141009",24,5
"283","1","20141009",25,11
"284","1","20141009",26,13
"285","1","20141009",27,5
"286","1","20141009",28,6
"287","1","20141009",29,19
"288","1","20141009",44,1
"289","1","20141009",45,2
"290","1","20141009",46,3
"291","1","20141009",47,15
"292","1","20141009",48,4
"293","1","20141009",49,1
"294","1","20141009",50,4
"295","1","20141009",51,3
"296","1","20141009",52,5
"297","1","20141009",53,9
"298","1","20141009",54,5
"299","1","20141009",55,1
"300","1","20141009",56,4
"301","1","20141009",57,6
"302","1","20141009",58,1
"303","1","20141010",11,4
"304","1","20141010",12,7
"305","1","20141010",13,14
"306","1","20141010",14,9
"307","1","20141010",15,17
"308","1","20141010",16,23
"309","1","20141010",17,184
"310","1","20141010",18,21
"311","1","20141010",19,53
"312","1","20141010",20,55
"313","1","20141010",21,20
"314","1","20141010",22,21
"315","1","20141010",23,7
"316","1","20141010",24,4
"317","1","20141010",25,9
"318","1","20141010",26,14
"319","1","20141010",27,6
"320","1","20141010",28,4
"321","1","20141010",29,10
"322","1","20141010",30,2
"323","1","20141010",44,1
"324","1","20141010",45,9
"325","1","20141010",46,4
"326","1","20141010",47,9
"327","1","20141010",48,2
"328","1","20141010",49,3
"329","1","20141010",50,1
"330","1","20141010",51,1
"331","1","20141010",52,8
"332","1","20141010",53,9
"333","1","20141010",54,9
"334","1","20141010",55,2
"335","1","20141010",56,1
"336","1","20141010",57,3
"337","1","20141010",58,1
"338","1","20141011",6,3
"339","1","20141011",11,6
"340","1","20141011",12,5
"341","1","20141011",13,12
"342","1","20141011",14,8
"343","1","20141011",15,15
"344","1","20141011",16,11
"345","1","20141011",17,202
"346","1","20141011",18,17
"347","1","20141011",19,39
"348","1","20141011",20,41
"349","1","20141011",21,20
"350","1","20141011",22,19
"351","1","20141011",23,13
"352","1","20141011",24,1
"353","1","20141011",25,3
"354","1","20141011",26,7
"355","1","20141011",27,1
"356","1","20141011",28,1
"357","1","20141011",29,4
"358","1","20141011",45,2
"359","1","20141011",46,1
"360","1","20141011",47,10
"361","1","20141011",48,2
"362","1","20141011",49,2
"363","1","20141011",50,1
"364","1","20141011",51,1
"365","1","20141011",52,6
"366","1","20141011",53,8
"367","1","20141011",54,6
"368","1","20141011",55,1
"369","1","20141011",57,2
"370","1","20141012",5,1
"371","1","20141012",6,1
"372","1","20141012",12,6
"373","1","20141012",13,10
"374","1","20141012",14,13
"375","1","20141012",15,22
"376","1","20141012",16,19
"377","1","20141012",17,119
"378","1","20141012",18,18
"379","1","20141012",19,43
"380","1","20141012",20,35
"381","1","20141012",21,12
"382","1","20141012",22,9
"383","1","20141012",23,3
"384","1","20141012",24,2
"385","1","20141012",25,2
"386","1","20141012",26,5
"387","1","20141012",27,3
"388","1","20141012",28,2
"389","1","20141012",29,6
"390","1","20141012",30,2
"391","1","20141012",45,3
"392","1","20141012",46,1
"393","1","20141012",47,3
"394","1","20141012",48,1
"395","1","20141012",49,2
"396","1","20141012",50,1
"397","1","20141012",51,1
"398","1","20141012",52,4
"399","1","20141012",53,5
"400","1","20141012",54,6
"401","1","20141012",55,8
"402","1","20141012",56,1
"403","1","20141012",57,4
"404","1","20141012",58,1
"405","1","20141013",5,1
"406","1","20141013",6,2
"407","1","20141013",9,2
"408","1","20141013",11,2
"409","1","20141013",12,7
"410","1","20141013",13,13
"411","1","20141013",14,13
"412","1","20141013",15,12
"413","1","20141013",16,36
"414","1","20141013",17,215
"415","1","20141013",18,31
"416","1","20141013",19,63
"417","1","20141013",20,49
"418","1","20141013",21,21
"419","1","20141013",22,15
"420","1","20141013",23,7
"421","1","20141013",24,5
"422","1","20141013",25,2
"423","1","20141013",26,10
"424","1","20141013",27,2
"425","1","20141013",28,3
"426","1","20141013",29,10
"427","1","20141013",30,1
"428","1","20141013",45,4
"429","1","20141013",47,11
"430","1","20141013",48,5
"431","1","20141013",50,3
"432","1","20141013",52,12
"433","1","20141013",53,6
"434","1","20141013",54,7
"435","1","20141013",55,2
"436","1","20141013",56,2
"437","1","20141013",57,4
"438","1","20141014",6,2
"439","1","20141014",10,1
"440","1","20141014",11,1
"441","1","20141014",12,5
"442","1","20141014",13,24
"443","1","20141014",14,15
"444","1","20141014",15,35
"445","1","20141014",16,27
"446","1","20141014",17,223
"447","1","20141014",18,31
"448","1","20141014",19,85
"449","1","20141014",20,66
"450","1","20141014",21,21
"451","1","20141014",22,26
"452","1","20141014",23,13
"453","1","20141014",24,3
"454","1","20141014",26,15
"455","1","20141014",27,3
"456","1","20141014",28,3
"457","1","20141014",29,10
"458","1","20141014",30,1
"459","1","20141014",44,2
"460","1","20141014",45,3
"461","1","20141014",46,3
"462","1","20141014",47,15
"463","1","20141014",48,4
"464","1","20141014",49,8
"465","1","20141014",50,3
"466","1","20141014",52,8
"467","1","20141014",53,9
"468","1","20141014",54,4
"469","1","20141014",56,2
"470","1","20141014",57,2
"471","1","20141015",6,1
"472","1","20141015",7,1
"473","1","20141015",11,2
"474","1","20141015",12,7
"475","1","20141015",13,20
"476","1","20141015",14,8
"477","1","20141015",15,24
"478","1","20141015",16,32
"479","1","20141015",17,199
"480","1","20141015",18,24
"481","1","20141015",19,88
"482","1","20141015",20,50
"483","1","20141015",21,16
"484","1","20141015",22,9
"485","1","20141015",23,12
"486","1","20141015",24,3
"487","1","20141015",25,7
"488","1","20141015",26,13
"489","1","20141015",27,4
"490","1","20141015",28,7
"491","1","20141015",29,14
"492","1","20141015",30,3
"493","1","20141015",44,1
"494","1","20141015",45,3
"495","1","20141015",46,5
"496","1","20141015",47,8
"497","1","20141015",48,2
"498","1","20141015",49,8
"499","1","20141015",50,1
"500","1","20141015",52,9
"501","1","20141015",53,8
"502","1","20141015",54,5
"503","1","20141015",56,4
"504","1","20141015",57,3
"505","1","20141015",58,3
"506","1","20141016",5,1
"507","1","20141016",6,1
"508","1","20141016",7,2
"509","1","20141016",8,1
"510","1","20141016",11,2
"511","1","20141016",12,9
"512","1","20141016",13,19
"513","1","20141016",14,15
"514","1","20141016",15,24
"515","1","20141016",16,18
"516","1","20141016",17,151
"517","1","20141016",18,34
"518","1","20141016",19,62
