"","ymd","count"
"1","20140930",2
"2","20141001",1269
"3","20141002",1245
"4","20141003",1325
"5","20141004",1174
"6","20141005",963
"7","20141006",1156
"8","20141007",1099
"9","20141008",1329
"10","20141009",1260
"11","20141010",1212
"12","20141011",1153
"13","20141012",1032
"14","20141013",1224
"15","20141014",1334
"16","20141015",1239
"17","20141016",1287
"18","20141017",1334
"19","20141018",1115
"20","20141019",1069
"21","20141020",1168
"22","20141021",1172
"23","20141022",1280
"24","20141023",1276
"25","20141024",1351
"26","20141025",1170
"27","20141026",1079
"28","20141027",1210
"29","20141028",1292
"30","20141029",1247
"31","20141030",1228
"32","20141031",1272
"33","20141101",1121
"34","20141102",1163
"35","20141103",1224
"36","20141104",1137
"37","20141105",1176
"38","20141106",1249
"39","20141107",1237
"40","20141108",1113
"41","20141109",961
"42","20141110",1093
"43","20141111",1201
"44","20141112",1116
"45","20141113",1019
"46","20141114",1193
"47","20141115",1072
"48","20141116",970
"49","20141117",1021
"50","20141118",1039
"51","20141119",1091
"52","20141120",1029
"53","20141121",1211
"54","20141122",1228
"55","20141123",1129
"56","20141124",1177
"57","20141125",1261
"58","20141126",1077
"59","20141127",814
"60","20141128",985
"61","20141129",1091
"62","20141130",1053
"63","20141201",1084
"64","20141202",1137
"65","20141203",1252
"66","20141204",1151
"67","20141205",1190
"68","20141206",1066
"69","20141207",983
"70","20141208",1178
"71","20141209",1263
"72","20141210",1176
"73","20141211",1136
"74","20141212",1291
"75","20141213",1142
"76","20141214",1033
"77","20141215",1235
"78","20141216",1199
"79","20141217",1077
"80","20141218",1171
"81","20141219",1165
"82","20141220",1069
"83","20141221",955
"84","20141222",1033
"85","20141223",1199
"86","20141224",980
"87","20141225",816
"88","20141226",993
"89","20141227",969
"90","20141228",945
"91","20141229",990
"92","20141230",1068
"93","20141231",1019
"94","20150101",1088
"95","20150102",1013
"96","20150103",955
"97","20150104",941
"98","20150105",914
"99","20150106",1093
"100","20150107",969
"101","20150108",1003
"102","20150109",1168
"103","20150110",1063
"104","20150111",954
"105","20150112",989
"106","20150113",983
"107","20150114",1045
"108","20150115",1035
"109","20150116",1185
"110","20150117",1097
"111","20150118",974
"112","20150119",1071
"113","20150120",1236
"114","20150121",1158
"115","20150122",1123
"116","20150123",1171
"117","20150124",1084
"118","20150125",999
"119","20150126",1095
"120","20150127",1136
"121","20150128",1129
"122","20150129",1181
"123","20150130",1204
"124","20150131",1086
"125","20150201",874
"126","20150202",963
"127","20150203",1062
"128","20150204",1151
"129","20150205",1061
"130","20150206",1189
"131","20150207",1175
"132","20150208",1122
"133","20150209",1180
"134","20150210",1219
"135","20150211",1058
"136","20150212",1117
"137","20150213",1134
"138","20150214",980
"139","20150215",938
"140","20150216",881
"141","20150217",1081
"142","20150218",1023
"143","20150219",962
"144","20150220",1194
"145","20150221",1019
"146","20150222",887
"147","20150223",1075
"148","20150224",1059
"149","20150225",1097
"150","20150226",1078
"151","20150227",1251
"152","20150228",1065
"153","20150301",876
"154","20150302",970
"155","20150303",1118
"156","20150304",1147
"157","20150305",924
"158","20150306",1026
"159","20150307",1024
"160","20150308",928
"161","20150309",1235
"162","20150310",1175
"163","20150311",1088
"164","20150312",1217
"165","20150313",1325
"166","20150314",1071
"167","20150315",1130
"168","20150316",1264
"169","20150317",1256
"170","20150318",1240
"171","20150319",1143
"172","20150320",1209
"173","20150321",1266
"174","20150322",1088
"175","20150323",1208
"176","20150324",1035
"177","20150325",1267
"178","20150326",1290
"179","20150327",1286
"180","20150328",1064
"181","20150329",1017
"182","20150330",1236
"183","20150331",1334
"184","20150401",1235
"185","20150402",1198
"186","20150403",1256
"187","20150404",1148
"188","20150405",1036
"189","20150406",1142
"190","20150407",1196
"191","20150408",1196
"192","20150409",1387
"193","20150410",1375
"194","20150411",1177
"195","20150412",1134
"196","20150413",1342
"197","20150414",1362
"198","20150415",1332
"199","20150416",1281
"200","20150417",1399
"201","20150418",1458
"202","20150419",1144
"203","20150420",1216
"204","20150421",1258
"205","20150422",1260
"206","20150423",1283
"207","20150424",1362
"208","20150425",1049
"209","20150426",1043
"210","20150427",1240
"211","20150428",1341
"212","20150429",1287
"213","20150430",1261
"214","20150501",1274
"215","20150502",1205
"216","20150503",1266
"217","20150504",1337
"218","20150505",1329
"219","20150506",1400
"220","20150507",1373
"221","20150508",1405
"222","20150509",1260
"223","20150510",1138
"224","20150511",1245
"225","20150512",1351
"226","20150513",1274
"227","20150514",1233
"228","20150515",1440
"229","20150516",1309
"230","20150517",1184
"231","20150518",1308
"232","20150519",1238
"233","20150520",1139
"234","20150521",1161
"235","20150522",1322
"236","20150523",1191
"237","20150524",1076
"238","20150525",1115
"239","20150526",1392
"240","20150527",1496
"241","20150528",1275
"242","20150529",1306
"243","20150530",1320
"244","20150531",1070
"245","20150601",1263
"246","20150602",1138
"247","20150603",1217
"248","20150604",1268
"249","20150605",1373
"250","20150606",1163
"251","20150607",1112
"252","20150608",1111
"253","20150609",1390
"254","20150610",1408
"255","20150611",1208
"256","20150612",1242
"257","20150613",1266
"258","20150614",1187
"259","20150615",1312
"260","20150616",1264
"261","20150617",1287
"262","20150618",1331
"263","20150619",1145
"264","20150620",1106
"265","20150621",1034
"266","20150622",1252
"267","20150623",1229
"268","20150624",1309
"269","20150625",1196
"270","20150626",1190
"271","20150627",1347
"272","20150628",1144
"273","20150629",1201
"274","20150630",1150
"275","20150701",1246
"276","20150702",1364
"277","20150703",1351
"278","20150704",1281
"279","20150705",1080
"280","20150706",1183
"281","20150707",1371
"282","20150708",1221
"283","20150709",1234
"284","20150710",1243
"285","20150711",1320
"286","20150712",1222
"287","20150713",1274
"288","20150714",1267
"289","20150715",1354
"290","20150716",1345
"291","20150717",1402
"292","20150718",1245
"293","20150719",1212
"294","20150720",1338
"295","20150721",1291
"296","20150722",1448
"297","20150723",1435
"298","20150724",1257
"299","20150725",1374
"300","20150726",1148
"301","20150727",1381
"302","20150728",1614
"303","20150729",1301
"304","20150730",1307
"305","20150731",1421
"306","20150801",1177
"307","20150802",1151
"308","20150803",1279
"309","20150804",1402
"310","20150805",1369
"311","20150806",1280
"312","20150807",1249
"313","20150808",1237
"314","20150809",1126
"315","20150810",1256
"316","20150811",1360
"317","20150812",1343
"318","20150813",1277
"319","20150814",1281
"320","20150815",1246
"321","20150816",1069
"322","20150817",1296
"323","20150818",1323
"324","20150819",1459
"325","20150820",1373
"326","20150821",1313
"327","20150822",1306
"328","20150823",1177
"329","20150824",1228
"330","20150825",1207
"331","20150826",1325
"332","20150827",1287
"333","20150828",1430
"334","20150829",1333
"335","20150830",1193
"336","20150831",1281
"337","20150901",1422
"338","20150902",1480
"339","20150903",1371
"340","20150904",1367
"341","20150905",1445
"342","20150906",1363
"343","20150907",1164
"344","20150908",1450
"345","20150909",1349
"346","20150910",1342
"347","20150911",1487
"348","20150912",1296
"349","20150913",1117
"350","20150914",1277
"351","20150915",1452
"352","20150916",1386
"353","20150917",1285
"354","20150918",1357
"355","20150919",1449
"356","20150920",1237
"357","20150921",1399
"358","20150922",1205
"359","20150923",1276
"360","20150924",1503
"361","20150925",1428
"362","20150926",1236
"363","20150927",1119
"364","20150928",1282
"365","20150929",1401
"366","20150930",1297
"367","20151001",1358
"368","20151002",1290
"369","20151003",1193
"370","20151004",1198
"371","20151005",1336
"372","20151006",1296
"373","20151007",1451
"374","20151008",1329
"375","20151009",1443
"376","20151010",1215
"377","20151011",1100
"378","20151012",1279
"379","20151013",1306
"380","20151014",1256
"381","20151015",1193
"382","20151016",1152
"383","20151017",1079
"384","20151018",1024
"385","20151019",1132
"386","20151020",1168
"387","20151021",1300
"388","20151022",1399
"389","20151023",1421
"390","20151024",1220
"391","20151025",1032
"392","20151026",1170
"393","20151027",1387
"394","20151028",1235
"395","20151029",1220
"396","20151030",1217
"397","20151031",1124
"398","20151101",1235
"399","20151102",1185
"400","20151103",1306
"401","20151104",1299
"402","20151105",1321
"403","20151106",1330
"404","20151107",1069
"405","20151108",820
"406","20151109",1120
"407","20151110",1156
"408","20151111",1117
"409","20151112",1047
"410","20151113",1147
"411","20151114",1028
"412","20151115",942
"413","20151116",1093
"414","20151117",1190
"415","20151118",1189
"416","20151119",1327
"417","20151120",1314
"418","20151121",1112
"419","20151122",1022
"420","20151123",1139
"421","20151124",1257
"422","20151125",1166
"423","20151126",855
"424","20151127",1004
"425","20151128",1160
"426","20151129",1053
"427","20151130",1123
"428","20151201",1135
"429","20151202",1080
"430","20151203",1205
"431","20151204",1182
"432","20151205",1062
"433","20151206",1000
"434","20151207",1197
"435","20151208",1143
"436","20151209",1212
"437","20151210",1178
"438","20151211",1230
"439","20151212",1253
"440","20151213",1083
"441","20151214",1170
"442","20151215",1182
"443","20151216",1165
"444","20151217",1221
"445","20151218",1145
"446","20151219",964
"447","20151220",820
"448","20151221",1101
"449","20151222",1299
"450","20151223",1391
"451","20151224",1026
"452","20151225",810
"453","20151226",903
"454","20151227",842
"455","20151228",1014
"456","20151229",1139
"457","20151230",1123
"458","20151231",1075
"459","20160101",1129
"460","20160102",901
"461","20160103",940
"462","20160104",1050
"463","20160105",1045
"464","20160106",1093
"465","20160107",1090
"466","20160108",1156
"467","20160109",1054
"468","20160110",1078
"469","20160111",1076
"470","20160112",1048
"471","20160113",1080
"472","20160114",1235
"473","20160115",1194
"474","20160116",1038
"475","20160117",963
"476","20160118",971
"477","20160119",1091
"478","20160120",1064
"479","20160121",1190
"480","20160122",1014
"481","20160123",951
"482","20160124",953
"483","20160125",1102
"484","20160126",1133
"485","20160127",1123
"486","20160128",1147
"487","20160129",1112
"488","20160130",1066
"489","20160131",932
"490","20160201",1110
"491","20160202",1187
"492","20160203",1169
"493","20160204",1152
"494","20160205",1205
"495","20160206",1051
"496","20160207",918
"497","20160208",1031
"498","20160209",950
"499","20160210",987
"500","20160211",1063
"501","20160212",1107
"502","20160213",964
"503","20160214",808
"504","20160215",1042
"505","20160216",1145
"506","20160217",1000
"507","20160218",1129
"508","20160219",1373
"509","20160220",1255
"510","20160221",1019
"511","20160222",1054
"512","20160223",1058
"513","20160224",1151
"514","20160225",1117
"515","20160226",1099
"516","20160227",916
"517","20160228",1074
"518","20160229",1197
"519","20160301",1161
"520","20160302",1138
"521","20160303",1144
"522","20160304",1201
"523","20160305",1142
"524","20160306",1044
"525","20160307",1137
"526","20160308",1212
"527","20160309",1242
"528","20160310",1180
"529","20160311",1228
"530","20160312",1212
"531","20160313",992
"532","20160314",1342
