"","ymd","region","count"
"1","20140930",25,1
"2","20140930",30,1
"3","20141001",5,2
"4","20141001",6,6
"5","20141001",8,1
"6","20141001",11,5
"7","20141001",12,22
"8","20141001",13,44
"9","20141001",14,44
"10","20141001",15,48
"11","20141001",16,55
"12","20141001",17,366
"13","20141001",18,73
"14","20141001",19,137
"15","20141001",20,126
"16","20141001",21,46
"17","20141001",22,42
"18","20141001",23,23
"19","20141001",24,11
"20","20141001",25,11
"21","20141001",26,22
"22","20141001",27,16
"23","20141001",28,6
"24","20141001",29,38
"25","20141001",30,5
"26","20141001",44,2
"27","20141001",45,11
"28","20141001",46,6
"29","20141001",47,18
"30","20141001",48,3
"31","20141001",49,5
"32","20141001",50,4
"33","20141001",51,2
"34","20141001",52,21
"35","20141001",53,15
"36","20141001",54,9
"37","20141001",55,1
"38","20141001",56,7
"39","20141001",57,10
"40","20141001",58,6
"41","20141002",5,1
"42","20141002",6,3
"43","20141002",11,9
"44","20141002",12,21
"45","20141002",13,41
"46","20141002",14,49
"47","20141002",15,45
"48","20141002",16,50
"49","20141002",17,386
"50","20141002",18,50
"51","20141002",19,123
"52","20141002",20,120
"53","20141002",21,74
"54","20141002",22,47
"55","20141002",23,18
"56","20141002",24,7
"57","20141002",25,11
"58","20141002",26,18
"59","20141002",27,16
"60","20141002",28,6
"61","20141002",29,19
"62","20141002",30,5
"63","20141002",44,5
"64","20141002",45,15
"65","20141002",46,6
"66","20141002",47,23
"67","20141002",48,2
"68","20141002",49,10
"69","20141002",50,4
"70","20141002",52,13
"71","20141002",53,12
"72","20141002",54,18
"73","20141002",55,5
"74","20141002",56,6
"75","20141002",57,5
"76","20141002",58,2
"77","20141003",6,4
"78","20141003",8,1
"79","20141003",11,9
"80","20141003",12,13
"81","20141003",13,40
"82","20141003",14,37
"83","20141003",15,50
"84","20141003",16,66
"85","20141003",17,465
"86","20141003",18,42
"87","20141003",19,114
"88","20141003",20,125
"89","20141003",21,61
"90","20141003",22,30
"91","20141003",23,25
"92","20141003",24,8
"93","20141003",25,11
"94","20141003",26,25
"95","20141003",27,15
"96","20141003",28,6
"97","20141003",29,18
"98","20141003",30,1
"99","20141003",45,16
"100","20141003",46,7
"101","20141003",47,30
"102","20141003",48,12
"103","20141003",49,10
"104","20141003",50,3
"105","20141003",51,7
"106","20141003",52,14
"107","20141003",53,24
"108","20141003",54,19
"109","20141003",55,5
"110","20141003",56,7
"111","20141003",57,4
"112","20141003",58,1
"113","20141004",6,1
"114","20141004",11,7
"115","20141004",12,18
"116","20141004",13,25
"117","20141004",14,37
"118","20141004",15,52
"119","20141004",16,47
"120","20141004",17,419
"121","20141004",18,66
"122","20141004",19,113
"123","20141004",20,92
"124","20141004",21,50
"125","20141004",22,24
"126","20141004",23,14
"127","20141004",24,1
"128","20141004",25,10
"129","20141004",26,30
"130","20141004",27,13
"131","20141004",28,5
"132","20141004",29,16
"133","20141004",30,7
"134","20141004",44,2
"135","20141004",45,12
"136","20141004",46,5
"137","20141004",47,21
"138","20141004",48,7
"139","20141004",49,9
"140","20141004",50,5
"141","20141004",51,2
"142","20141004",52,19
"143","20141004",53,9
"144","20141004",54,20
"145","20141004",55,6
"146","20141004",56,2
"147","20141004",57,6
"148","20141004",58,2
"149","20141005",6,3
"150","20141005",11,7
"151","20141005",12,16
"152","20141005",13,41
"153","20141005",14,27
"154","20141005",15,47
"155","20141005",16,31
"156","20141005",17,356
"157","20141005",18,37
"158","20141005",19,81
"159","20141005",20,75
"160","20141005",21,41
"161","20141005",22,15
"162","20141005",23,16
"163","20141005",24,2
"164","20141005",25,9
"165","20141005",26,19
"166","20141005",27,9
"167","20141005",28,3
"168","20141005",29,17
"169","20141005",30,1
"170","20141005",44,1
"171","20141005",45,14
"172","20141005",46,3
"173","20141005",47,11
"174","20141005",48,10
"175","20141005",49,1
"176","20141005",50,6
"177","20141005",51,1
"178","20141005",52,14
"179","20141005",53,5
"180","20141005",54,19
"181","20141005",55,9
"182","20141005",56,3
"183","20141005",57,11
"184","20141005",58,2
"185","20141006",6,4
"186","20141006",11,8
"187","20141006",12,14
"188","20141006",13,36
"189","20141006",14,35
"190","20141006",15,55
"191","20141006",16,40
"192","20141006",17,362
"193","20141006",18,63
"194","20141006",19,116
"195","20141006",20,95
"196","20141006",21,46
"197","20141006",22,34
"198","20141006",23,21
"199","20141006",24,9
"200","20141006",25,12
"201","20141006",26,23
"202","20141006",27,6
"203","20141006",28,4
"204","20141006",29,14
"205","20141006",30,4
"206","20141006",44,3
"207","20141006",45,11
"208","20141006",46,12
"209","20141006",47,22
"210","20141006",48,5
"211","20141006",49,10
"212","20141006",50,4
"213","20141006",51,2
"214","20141006",52,21
"215","20141006",53,22
"216","20141006",54,22
"217","20141006",55,3
"218","20141006",56,9
"219","20141006",57,7
"220","20141006",58,2
"221","20141007",5,1
"222","20141007",6,2
"223","20141007",11,8
"224","20141007",12,18
"225","20141007",13,27
"226","20141007",14,35
"227","20141007",15,47
"228","20141007",16,58
"229","20141007",17,336
"230","20141007",18,57
"231","20141007",19,153
"232","20141007",20,87
"233","20141007",21,33
"234","20141007",22,34
"235","20141007",23,24
"236","20141007",24,4
"237","20141007",25,6
"238","20141007",26,23
"239","20141007",27,8
"240","20141007",28,11
"241","20141007",29,18
"242","20141007",30,6
"243","20141007",45,8
"244","20141007",46,9
"245","20141007",47,15
"246","20141007",48,2
"247","20141007",49,10
"248","20141007",50,4
"249","20141007",51,2
"250","20141007",52,10
"251","20141007",53,15
"252","20141007",54,15
"253","20141007",55,3
"254","20141007",56,3
"255","20141007",57,5
"256","20141007",58,2
"257","20141008",6,2
"258","20141008",10,1
"259","20141008",11,4
"260","20141008",12,14
"261","20141008",13,39
"262","20141008",14,40
"263","20141008",15,51
"264","20141008",16,66
"265","20141008",17,461
"266","20141008",18,61
"267","20141008",19,119
"268","20141008",20,108
"269","20141008",21,58
"270","20141008",22,37
"271","20141008",23,26
"272","20141008",24,5
"273","20141008",25,10
"274","20141008",26,25
"275","20141008",27,11
"276","20141008",28,5
"277","20141008",29,26
"278","20141008",30,2
"279","20141008",44,3
"280","20141008",45,19
"281","20141008",46,9
"282","20141008",47,23
"283","20141008",48,8
"284","20141008",49,8
"285","20141008",50,3
"286","20141008",51,3
"287","20141008",52,19
"288","20141008",53,21
"289","20141008",54,15
"290","20141008",55,10
"291","20141008",56,7
"292","20141008",57,8
"293","20141008",58,2
"294","20141009",6,2
"295","20141009",11,5
"296","20141009",12,19
"297","20141009",13,36
"298","20141009",14,28
"299","20141009",15,49
"300","20141009",16,72
"301","20141009",17,377
"302","20141009",18,63
"303","20141009",19,141
"304","20141009",20,136
"305","20141009",21,44
"306","20141009",22,26
"307","20141009",23,24
"308","20141009",24,5
"309","20141009",25,13
"310","20141009",26,25
"311","20141009",27,14
"312","20141009",28,7
"313","20141009",29,30
"314","20141009",44,3
"315","20141009",45,11
"316","20141009",46,11
"317","20141009",47,22
"318","20141009",48,4
"319","20141009",49,6
"320","20141009",50,8
"321","20141009",51,3
"322","20141009",52,18
"323","20141009",53,16
"324","20141009",54,21
"325","20141009",55,3
"326","20141009",56,10
"327","20141009",57,7
"328","20141009",58,1
"329","20141010",5,1
"330","20141010",6,1
"331","20141010",11,9
"332","20141010",12,14
"333","20141010",13,36
"334","20141010",14,25
"335","20141010",15,32
"336","20141010",16,42
"337","20141010",17,440
"338","20141010",18,47
"339","20141010",19,105
"340","20141010",20,114
"341","20141010",21,62
"342","20141010",22,40
"343","20141010",23,21
"344","20141010",24,6
"345","20141010",25,12
"346","20141010",26,25
"347","20141010",27,15
"348","20141010",28,6
"349","20141010",29,22
"350","20141010",30,5
"351","20141010",44,3
"352","20141010",45,26
"353","20141010",46,6
"354","20141010",47,16
"355","20141010",48,8
"356","20141010",49,4
"357","20141010",50,3
"358","20141010",51,1
"359","20141010",52,11
"360","20141010",53,15
"361","20141010",54,23
"362","20141010",55,4
"363","20141010",56,4
"364","20141010",57,5
"365","20141010",58,3
"366","20141011",5,1
"367","20141011",6,6
"368","20141011",10,1
"369","20141011",11,9
"370","20141011",12,14
"371","20141011",13,39
"372","20141011",14,27
"373","20141011",15,32
"374","20141011",16,37
"375","20141011",17,430
"376","20141011",18,42
"377","20141011",19,112
"378","20141011",20,96
"379","20141011",21,60
"380","20141011",22,43
"381","20141011",23,24
"382","20141011",24,6
"383","20141011",25,11
"384","20141011",26,27
"385","20141011",27,6
"386","20141011",28,5
"387","20141011",29,13
"388","20141011",30,1
"389","20141011",44,1
"390","20141011",45,11
"391","20141011",46,11
"392","20141011",47,25
"393","20141011",48,7
"394","20141011",49,3
"395","20141011",50,4
"396","20141011",51,2
"397","20141011",52,11
"398","20141011",53,13
"399","20141011",54,17
"400","20141011",55,1
"401","20141011",57,5
"402","20141012",5,2
"403","20141012",6,4
"404","20141012",11,1
"405","20141012",12,15
"406","20141012",13,23
"407","20141012",14,28
"408","20141012",15,41
"409","20141012",16,54
"410","20141012",17,414
"411","20141012",18,35
"412","20141012",19,89
"413","20141012",20,84
"414","20141012",21,40
"415","20141012",22,23
"416","20141012",23,13
"417","20141012",24,3
"418","20141012",25,8
"419","20141012",26,16
"420","20141012",27,7
"421","20141012",28,3
"422","20141012",29,13
"423","20141012",30,4
"424","20141012",44,1
"425","20141012",45,20
"426","20141012",46,7
"427","20141012",47,9
"428","20141012",48,4
"429","20141012",49,7
"430","20141012",50,2
"431","20141012",51,1
"432","20141012",52,13
"433","20141012",53,17
"434","20141012",54,12
"435","20141012",55,9
"436","20141012",56,3
"437","20141012",57,6
"438","20141012",58,1
"439","20141013",5,2
"440","20141013",6,3
"441","20141013",9,2
"442","20141013",11,5
"443","20141013",12,16
"444","20141013",13,30
"445","20141013",14,34
"446","20141013",15,46
"447","20141013",16,65
"448","20141013",17,436
"449","20141013",18,60
"450","20141013",19,125
"451","20141013",20,91
"452","20141013",21,48
"453","20141013",22,33
"454","20141013",23,25
"455","20141013",24,10
"456","20141013",25,3
"457","20141013",26,18
"458","20141013",27,7
"459","20141013",28,4
"460","20141013",29,24
"461","20141013",30,2
"462","20141013",44,1
"463","20141013",45,12
"464","20141013",46,8
"465","20141013",47,21
"466","20141013",48,9
"467","20141013",49,3
"468","20141013",50,5
"469","20141013",51,1
"470","20141013",52,28
"471","20141013",53,17
"472","20141013",54,16
"473","20141013",55,2
"474","20141013",56,6
