"","month_2","region","count"
"1",1,"6",1
"2",1,"11",2
"3",1,"12",8
"4",1,"13",14
"5",1,"14",14
"6",1,"15",17
"7",1,"16",14
"8",1,"17",8
"9",1,"18",17
"10",1,"19",26
"11",1,"20",25
"12",1,"21",13
"13",1,"22",3
"14",1,"23",6
"15",1,"24",2
"16",1,"25",3
"17",1,"26",10
"18",1,"27",6
"19",1,"28",3
"20",1,"29",7
"21",1,"30",1
"22",1,"45",5
"23",1,"46",2
"24",1,"47",5
"25",1,"48",3
"26",1,"49",3
"27",1,"50",1
"28",1,"52",6
"29",1,"53",7
"30",1,"54",4
"31",1,"56",6
"32",1,"57",3
"33",2,"6",2
"34",2,"9",1
"35",2,"11",4
"36",2,"12",13
"37",2,"13",12
"38",2,"14",12
"39",2,"15",14
"40",2,"16",26
"41",2,"17",12
"42",2,"18",13
"43",2,"19",31
"44",2,"20",31
"45",2,"21",20
"46",2,"22",5
"47",2,"23",4
"48",2,"25",4
"49",2,"26",8
"50",2,"27",6
"51",2,"29",6
"52",2,"30",1
"53",2,"44",2
"54",2,"45",4
"55",2,"46",3
"56",2,"47",6
"57",2,"49",5
"58",2,"50",2
"59",2,"51",1
"60",2,"52",8
"61",2,"53",5
"62",2,"54",4
"63",2,"55",2
"64",2,"56",4
"65",2,"57",4
"66",2,"58",2
"67",3,"5",1
"68",3,"10",1
"69",3,"11",6
"70",3,"12",9
"71",3,"13",16
"72",3,"14",12
"73",3,"15",18
"74",3,"16",14
"75",3,"17",14
"76",3,"18",7
"77",3,"19",26
"78",3,"20",29
"79",3,"21",17
"80",3,"22",9
"81",3,"23",5
"82",3,"24",2
"83",3,"25",9
"84",3,"26",12
"85",3,"27",3
"86",3,"28",2
"87",3,"29",5
"88",3,"30",1
"89",3,"44",2
"90",3,"46",2
"91",3,"47",8
"92",3,"48",6
"93",3,"49",3
"94",3,"50",4
"95",3,"51",3
"96",3,"52",6
"97",3,"53",7
"98",3,"54",6
"99",3,"55",1
"100",3,"56",5
"101",3,"57",2
"102",4,"5",3
"103",4,"6",1
"104",4,"7",1
"105",4,"9",1
"106",4,"11",6
"107",4,"12",6
"108",4,"13",20
"109",4,"14",12
"110",4,"15",24
"111",4,"16",12
"112",4,"17",16
"113",4,"18",13
"114",4,"19",34
"115",4,"20",33
"116",4,"21",20
"117",4,"22",9
"118",4,"23",6
"119",4,"24",1
"120",4,"25",7
"121",4,"26",11
"122",4,"27",1
"123",4,"28",4
"124",4,"29",3
"125",4,"30",1
"126",4,"44",1
"127",4,"45",5
"128",4,"46",1
"129",4,"47",2
"130",4,"48",1
"131",4,"49",5
"132",4,"50",2
"133",4,"52",6
"134",4,"53",5
"135",4,"54",5
"136",4,"56",4
"137",4,"57",4
"138",5,"5",1
"139",5,"6",3
"140",5,"8",1
"141",5,"10",1
"142",5,"11",1
"143",5,"12",4
"144",5,"13",11
"145",5,"14",13
"146",5,"15",15
"147",5,"16",11
"148",5,"17",6
"149",5,"18",14
"150",5,"19",22
"151",5,"20",35
"152",5,"21",10
"153",5,"22",1
"154",5,"23",5
"155",5,"24",1
"156",5,"25",7
"157",5,"26",19
"158",5,"27",3
"159",5,"28",6
"160",5,"29",8
"161",5,"30",3
"162",5,"44",1
"163",5,"45",2
"164",5,"46",4
"165",5,"47",6
"166",5,"48",2
"167",5,"49",7
"168",5,"50",2
"169",5,"51",1
"170",5,"52",8
"171",5,"53",11
"172",5,"54",5
"173",5,"55",1
"174",5,"56",1
"175",5,"57",1
"176",6,"6",1
"177",6,"11",5
"178",6,"12",7
"179",6,"13",12
"180",6,"14",17
"181",6,"15",20
"182",6,"16",19
"183",6,"17",12
"184",6,"18",6
"185",6,"19",32
"186",6,"20",29
"187",6,"21",15
"188",6,"22",6
"189",6,"23",3
"190",6,"25",6
"191",6,"26",4
"192",6,"27",4
"193",6,"28",3
"194",6,"29",6
"195",6,"44",1
"196",6,"46",2
"197",6,"47",9
"198",6,"48",5
"199",6,"49",6
"200",6,"50",3
"201",6,"51",1
"202",6,"52",9
"203",6,"53",6
"204",6,"54",3
"205",6,"55",1
"206",6,"56",3
"207",6,"57",2
"208",7,"6",2
"209",7,"10",1
"210",7,"11",4
"211",7,"12",11
"212",7,"13",17
"213",7,"14",16
"214",7,"15",18
"215",7,"16",22
"216",7,"17",15
"217",7,"18",15
"218",7,"19",28
"219",7,"20",26
"220",7,"21",15
"221",7,"22",6
"222",7,"23",10
"223",7,"24",2
"224",7,"25",8
"225",7,"26",11
"226",7,"27",4
"227",7,"28",3
"228",7,"29",6
"229",7,"30",3
"230",7,"44",1
"231",7,"45",5
"232",7,"46",4
"233",7,"47",4
"234",7,"48",2
"235",7,"49",2
"236",7,"50",5
"237",7,"52",14
"238",7,"53",3
"239",7,"54",6
"240",7,"55",2
"241",7,"56",8
"242",7,"57",2
"243",7,"58",2
"244",8,"5",1
"245",8,"6",3
"246",8,"10",2
"247",8,"11",3
"248",8,"12",8
"249",8,"13",24
"250",8,"14",16
"251",8,"15",27
"252",8,"16",15
"253",8,"17",20
"254",8,"18",19
"255",8,"19",42
"256",8,"20",26
"257",8,"21",20
"258",8,"22",13
"259",8,"23",12
"260",8,"24",2
"261",8,"25",10
"262",8,"26",16
"263",8,"27",3
"264",8,"28",1
"265",8,"29",7
"266",8,"30",2
"267",8,"45",3
"268",8,"46",4
"269",8,"47",7
"270",8,"48",2
"271",8,"49",3
"272",8,"50",2
"273",8,"52",7
"274",8,"53",10
"275",8,"54",7
"276",8,"55",1
"277",8,"56",3
"278",8,"58",1
"279",9,"5",1
"280",9,"6",1
"281",9,"11",1
"282",9,"12",7
"283",9,"13",12
"284",9,"14",17
"285",9,"15",22
"286",9,"16",22
"287",9,"17",13
"288",9,"18",13
"289",9,"19",44
"290",9,"20",40
"291",9,"21",13
"292",9,"22",8
"293",9,"23",9
"294",9,"24",2
"295",9,"25",3
"296",9,"26",11
"297",9,"27",6
"298",9,"28",2
"299",9,"29",3
"300",9,"30",1
"301",9,"44",1
"302",9,"45",2
"303",9,"46",1
"304",9,"47",7
"305",9,"48",4
"306",9,"49",9
"307",9,"50",3
"308",9,"52",8
"309",9,"53",4
"310",9,"54",4
"311",9,"55",1
"312",9,"56",3
"313",9,"57",4
"314",9,"58",1
"315",10,"9",1
"316",10,"11",4
"317",10,"12",6
"318",10,"13",20
"319",10,"14",20
"320",10,"15",28
"321",10,"16",18
"322",10,"17",18
"323",10,"18",4
"324",10,"19",34
"325",10,"20",36
"326",10,"21",18
"327",10,"22",14
"328",10,"23",6
"329",10,"24",1
"330",10,"25",8
"331",10,"26",10
"332",10,"27",5
"333",10,"28",3
"334",10,"29",2
"335",10,"30",2
"336",10,"44",1
"337",10,"45",6
"338",10,"46",2
