"","date_ymd","region","count"
"1","2015-1-1","24",1
"2","2015-1-1","25",1
"3","2015-1-1","26",2
"4","2015-1-1","31",3
"5","2015-1-1","32",1
"6","2015-1-1","35",6
"7","2015-1-1","41",1
"8","2015-1-1","44",3
"9","2015-1-1","45",1
"10","2015-1-1","46",2
"11","2015-1-1","53",1
"12","2015-1-1","57",2
"13","2015-1-1","58",1
"14","2015-1-1","62",1
"15","2015-1-1","66",1
"16","2015-1-1","67",3
"17","2015-1-1","73",1
"18","2015-1-1","87",1
"19","2015-1-1",NA,3
"20","2015-1-10","23",1
"21","2015-1-10","24",1
"22","2015-1-10","25",3
"23","2015-1-10","26",1
"24","2015-1-10","32",3
"25","2015-1-10","34",1
"26","2015-1-10","35",4
"27","2015-1-10","43",1
"28","2015-1-10","45",2
"29","2015-1-10","46",1
"30","2015-1-10","47",1
"31","2015-1-10","52",1
"32","2015-1-10","53",1
"33","2015-1-10","56",1
"34","2015-1-10","63",2
"35","2015-1-10","68",1
"36","2015-1-10","73",1
"37","2015-1-10","83",1
"38","2015-1-10",NA,1
"39","2015-1-11","21",1
"40","2015-1-11","22",1
"41","2015-1-11","24",1
"42","2015-1-11","25",1
"43","2015-1-11","32",2
"44","2015-1-11","35",4
"45","2015-1-11","36",1
"46","2015-1-11","44",1
"47","2015-1-11","45",2
"48","2015-1-11","46",4
"49","2015-1-11","57",1
"50","2015-1-11","63",1
"51","2015-1-11","68",2
"52","2015-1-11","71",1
"53","2015-1-11","78",1
"54","2015-1-11","81",1
"55","2015-1-11","83",1
"56","2015-1-11","86",1
"57","2015-1-11",NA,1
"58","2015-1-12","21",1
"59","2015-1-12","24",1
"60","2015-1-12","25",1
"61","2015-1-12","31",2
"62","2015-1-12","34",1
"63","2015-1-12","35",4
"64","2015-1-12","46",3
"65","2015-1-12","47",1
"66","2015-1-12","51",1
"67","2015-1-12","53",1
"68","2015-1-12","56",3
"69","2015-1-12","62",1
"70","2015-1-12","67",1
"71","2015-1-12","71",2
"72","2015-1-12","72",1
"73","2015-1-12","73",1
"74","2015-1-12","76",1
"75","2015-1-12","77",1
"76","2015-1-12","81",1
"77","2015-1-12","83",3
"78","2015-1-12","87",1
"79","2015-1-12",NA,1
"80","2015-1-13","21",1
"81","2015-1-13","25",1
"82","2015-1-13","31",1
"83","2015-1-13","32",1
"84","2015-1-13","56",1
"85","2015-1-13","57",1
"86","2015-1-13","62",1
"87","2015-1-13","63",2
"88","2015-1-13","67",2
"89","2015-1-13","77",1
"90","2015-1-13","83",1
"91","2015-1-13",NA,2
"92","2015-1-14","11",1
"93","2015-1-14","22",1
"94","2015-1-14","25",3
"95","2015-1-14","35",1
"96","2015-1-14","36",1
"97","2015-1-14","45",1
"98","2015-1-14","46",3
"99","2015-1-14","47",1
"100","2015-1-14","51",1
"101","2015-1-14","53",1
"102","2015-1-14","56",2
"103","2015-1-14","58",2
"104","2015-1-14","61",2
"105","2015-1-14","63",2
"106","2015-1-14","83",1
"107","2015-1-15","14",1
"108","2015-1-15","21",1
"109","2015-1-15","22",1
"110","2015-1-15","25",1
"111","2015-1-15","31",1
"112","2015-1-15","32",1
"113","2015-1-15","34",1
"114","2015-1-15","35",1
"115","2015-1-15","46",1
"116","2015-1-15","52",1
"117","2015-1-15","53",1
"118","2015-1-15","56",2
"119","2015-1-15","57",2
"120","2015-1-15","58",1
"121","2015-1-15","63",2
"122","2015-1-15","73",1
"123","2015-1-15","76",1
"124","2015-1-15","83",1
"125","2015-1-15",NA,5
"126","2015-1-16","22",1
"127","2015-1-16","25",1
"128","2015-1-16","34",2
"129","2015-1-16","35",1
"130","2015-1-16","37",2
"131","2015-1-16","45",1
"132","2015-1-16","46",3
"133","2015-1-16","53",2
"134","2015-1-16","56",1
"135","2015-1-16","57",2
"136","2015-1-16","62",1
"137","2015-1-16","67",1
"138","2015-1-16","68",1
"139","2015-1-16","72",1
"140","2015-1-16","73",2
"141","2015-1-16","76",1
"142","2015-1-16","77",1
"143","2015-1-16","82",1
